Date, noodles_status, Day
2021-10-26, no bones, Tue
2021-10-25, bones, Mon
2021-10-23, bones, Sat
2021-10-22, no bones, Fri
2021-10-21, no bones, Thur
2021-10-18, bones, Mon
2021-10-17, no bones, Sun
2021-10-16, bones, Sat
2021-10-15, bones, Fri
2021-10-14, no bones, Thur
2021-10-13, no bones, Wed
2021-10-11, bones, Mon
2021-10-09, no bones, Sat
2021-10-07, bones, Thur
2021-10-04, no bones, Mon
2021-10-03, no bones, Sun
2021-10-01, bones, Fri
2021-09-29, no bones, Wed
2021-09-22, no bones, Wed
2021-09-14, bones, Tue
2021-09-05, no bones, Sun
2021-8-30, bones, Mon
2021-8-24, bones, Tue
2021-8-21, no bones, Sat
2021-8-13, no bones, Fri
2021-6-28, bones, Mon
2021-6-11, bones, Fri
2021-6-08, bones, Tue
2021-4-23, no bones, Fri
2021-4-07, bones, Wed
2021-3-28, bones, Sun
2021-3-11, no bones, Thur
2021-2-15, bones, Mon
2021-1-29, bones, Fri
2020-11-29, no bones, Sun
2020-08-12, bones, Wed
2020-08-08, no bones, Sat
