USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
956770,99999,19400101,83.6,,,,,9.5,15.9,,88.5,75.7,0.0
956770,99999,19400102,88.7,,,,,6.5,12.0,,100.8,68.7,0.0
956770,99999,19400103,81.6,,,,,9.5,13.0,,89.8,73.0,0.0
956770,99999,19400104,73.3,,,,,12.5,18.1,,81.9,66.9,0.0
956770,99999,19400105,64.7,,,,,10.2,18.1,,71.8,53.2,0.0
956770,99999,19400106,63.6,,,,,14.7,18.1,,70.0,54.0,0.0
956770,99999,19400107,70.3,,,,,3.3,6.0,,78.1,60.1,0.0
956770,99999,19400108,70.5,,,,,7.3,13.0,,80.8,56.7,0.0
956770,99999,19400109,65.7,,,,,6.8,11.1,,73.6,52.9,0.0
956770,99999,19400110,68.7,,,,,3.0,7.0,,77.0,53.1,0.0
956770,99999,19400111,71.2,,,,,12.0,19.0,,81.7,58.6,0.0
956770,99999,19400112,71.6,,,,,14.0,23.9,,79.2,61.3,0.0
956770,99999,19400113,77.9,,,,,7.5,18.1,,89.8,65.7,0.0
956770,99999,19400114,65.7,,,,,13.2,16.9,,70.0,60.1,0.0
956770,99999,19400115,68.3,,,,,7.0,14.0,,77.9,57.7,0.0
956770,99999,19400116,73.5,,,,,6.2,9.9,,82.0,61.3,0.0
956770,99999,19400117,75.7,,,,,5.0,13.0,,87.6,59.0,0.0
956770,99999,19400118,76.4,,,,,8.3,11.1,,87.3,62.2,0.0
956770,99999,19400119,69.7,,,,,7.0,13.0,,81.0,54.9,0.0
956770,99999,19400120,69.3,,,,,13.3,22.0,,79.3,62.8,0.0
956770,99999,19400121,61.3,,,,,20.2,29.9,,66.0,55.8,0.0
956770,99999,19400122,64.1,,,,,14.3,18.1,,66.7,61.3,0.0
956770,99999,19400123,70.4,,,,,10.5,14.0,,75.9,66.0,0.0
956770,99999,19400124,78.5,,,,,15.5,19.0,,92.8,69.3,0.0
956770,99999,19400125,70.3,,,,,7.0,12.0,,77.5,60.1,0.0
956770,99999,19400126,74.7,,,,,8.5,13.0,,80.4,63.9,0.0
956770,99999,19400127,76.5,,,,,7.0,11.1,,90.7,61.2,0.0
956770,99999,19400128,69.8,,,,,8.0,11.1,,76.5,62.1,0.0
956770,99999,19400129,65.7,,,,,6.3,11.1,,73.0,55.9,0.0
956770,99999,19400130,64.7,,,,,6.3,12.0,,73.0,51.8,0.0
956770,99999,19400131,66.7,,,,,7.5,12.0,,76.6,52.0,0.0
956770,99999,19400201,65.9,,,,,9.5,16.9,,72.3,59.5,0.0
956770,99999,19400202,65.2,,,,,7.5,18.1,,72.0,51.1,0.0
956770,99999,19400203,71.2,,,,,3.0,8.9,,84.0,54.0,0.0
956770,99999,19400204,67.5,,,,,12.7,15.0,,75.0,58.5,0.0
956770,99999,19400205,64.8,,,,,10.1,18.1,,71.4,56.1,0.0
956770,99999,19400207,72.0,,,,,4.5,12.0,,82.9,61.2,0.0
956770,99999,19400208,76.8,,,,,6.9,13.0,,87.4,61.9,0.0
956770,99999,19400209,76.6,,,,,5.0,14.0,,88.0,57.9,0.0
956770,99999,19400210,83.4,,,,,3.3,5.1,,96.3,68.0,0.0
956770,99999,19400211,79.6,,,,,11.0,20.0,,94.6,64.6,0.0
956770,99999,19400212,84.0,,,,,8.3,19.0,,95.2,68.7,0.0
956770,99999,19400213,92.5,,,,,6.0,8.9,,100.9,82.8,0.0
956770,99999,19400214,88.7,,,,,6.3,13.0,,101.1,75.2,0.0
956770,99999,19400215,74.1,,,,,5.2,8.9,,79.2,67.6,0.0
956770,99999,19400216,67.7,,,,,9.0,18.1,,76.3,54.7,0.0
956770,99999,19400217,66.1,,,,,5.2,12.0,,73.0,55.6,0.0
956770,99999,19400218,65.7,,,,,5.4,9.9,,74.7,55.2,0.0
956770,99999,19400219,66.0,,,,,11.0,23.9,,73.8,55.2,0.0
956770,99999,19400220,68.1,,,,,4.3,11.1,,78.3,54.1,0.0
956770,99999,19400221,76.6,,,,,14.0,22.9,,85.3,67.3,0.0
956770,99999,19400222,64.0,,,,,13.5,22.0,,67.8,57.4,0.0
956770,99999,19400223,66.1,,,,,6.8,11.1,,70.5,60.4,0.0
956770,99999,19400224,64.5,,,,,5.5,13.0,,74.5,50.7,0.0
956770,99999,19400225,64.8,,,,,5.5,12.0,,72.3,54.0,0.0
956770,99999,19400226,68.2,,,,,10.5,13.0,,80.2,58.3,0.0
956770,99999,19400227,59.2,,,,,14.8,19.0,,63.3,53.2,0.0
956770,99999,19400228,58.5,,,,,11.5,20.0,,64.8,53.1,0.0
956770,99999,19400229,60.4,,,,,7.8,11.1,,66.4,52.7,0.0
956770,99999,19400301,62.8,,,,,6.0,13.0,,70.0,52.3,0.0
956770,99999,19400302,63.1,,,,,6.8,8.9,,72.0,51.1,0.0
956770,99999,19400303,71.6,,,,,7.0,8.9,,75.9,64.9,0.0
956770,99999,19400304,74.6,,,,,3.8,6.0,,88.9,55.8,0.0
956770,99999,19400305,73.8,,,,,3.7,8.9,,87.3,57.4,0.0
956770,99999,19400306,84.6,,,,,8.0,11.1,,91.2,75.9,0.0
956770,99999,19400307,92.1,,,,,12.8,18.1,,99.7,78.1,0.0
956770,99999,19400308,96.4,,,,,7.7,8.9,,102.9,83.5,0.0
956770,99999,19400309,94.7,,,,,5.5,8.9,,106.9,80.4,0.0
956770,99999,19400310,94.0,,,,,6.3,18.1,,105.1,82.4,0.0
956770,99999,19400311,94.6,,,,,7.7,15.0,,107.8,79.5,0.0
956770,99999,19400312,92.6,,,,,10.5,15.0,,102.7,83.7,0.0
956770,99999,19400313,81.8,,,,,11.8,18.1,,99.0,63.7,0.0
956770,99999,19400314,66.2,,,,,12.8,19.0,,77.5,53.8,0.0
956770,99999,19400315,68.9,,,,,11.2,15.9,,76.3,61.5,0.0
956770,99999,19400316,75.9,,,,,3.3,6.0,,84.6,59.7,0.0
956770,99999,19400317,77.9,,,,,4.2,8.9,,91.9,60.3,0.0
956770,99999,19400318,66.8,,,,,13.0,20.0,,75.0,57.9,0.0
956770,99999,19400319,61.0,,,,,16.9,23.9,,63.1,58.5,0.0
956770,99999,19400320,64.5,,,,,6.7,14.0,,68.9,59.0,0.0
956770,99999,19400321,67.9,,,,,5.5,8.0,,71.6,61.9,0.0
956770,99999,19400322,77.8,,,,,4.7,8.0,,82.8,68.5,0.0
956770,99999,19400323,82.6,,,,,4.2,8.0,,90.7,71.1,0.0
956770,99999,19400324,75.7,,,,,6.3,11.1,,88.3,60.3,0.0
956770,99999,19400325,76.0,,,,,7.8,14.0,,80.1,71.4,0.0
956770,99999,19400326,83.3,,,,,7.0,19.0,,93.9,71.1,0.0
956770,99999,19400327,84.4,,,,,9.7,15.9,,96.6,65.7,0.0
956770,99999,19400328,88.7,,,,,11.7,16.9,,99.3,78.3,0.0
956770,99999,19400329,89.6,,,,,15.9,22.9,,97.9,79.3,0.0
956770,99999,19400330,76.2,,,,,7.2,14.0,,91.9,61.7,0.0
956770,99999,19400331,55.8,,,,,8.0,15.9,,61.0,48.6,0.0
956770,99999,19400401,57.6,,,,,11.5,19.0,,65.3,48.9,0.0
956770,99999,19400402,66.0,,,,,13.3,18.1,,70.0,62.1,0.0
956770,99999,19400403,65.7,,,,,1.7,6.0,,74.1,55.2,0.0
956770,99999,19400404,60.2,,,,,4.3,11.1,,70.0,48.9,0.0
956770,99999,19400405,71.4,,,,,7.0,11.1,,75.4,66.9,0.0
956770,99999,19400406,63.4,,,,,12.5,15.0,,70.5,60.4,0.0
956770,99999,19400407,60.8,,,,,5.5,11.1,,63.9,56.8,0.0
956770,99999,19400408,61.3,,,,,7.2,11.1,,68.7,51.6,0.0
956770,99999,19400409,64.7,,,,,1.7,7.0,,70.9,55.4,0.0
956770,99999,19400410,76.1,,,,,11.8,18.1,,79.7,73.0,0.0
956770,99999,19400411,61.4,,,,,11.2,26.0,,72.0,49.6,0.0
956770,99999,19400412,59.0,,,,,3.0,7.0,,66.4,52.0,0.0
956770,99999,19400413,56.9,,,,,10.5,18.1,,58.8,54.0,0.0
956770,99999,19400414,59.4,,,,,22.0,26.0,,63.1,55.0,0.0
956770,99999,19400415,55.1,,,,,9.8,21.0,,60.1,49.5,0.0
956770,99999,19400416,56.8,,,,,3.3,6.0,,61.0,53.2,0.0
956770,99999,19400417,56.9,,,,,5.2,7.0,,62.1,51.6,0.0
956770,99999,19400418,53.6,,,,,1.2,2.9,,59.2,46.0,0.0
956770,99999,19400419,59.4,,,,,4.7,8.9,,63.7,54.9,0.0
956770,99999,19400420,65.8,,,,,7.7,14.0,,73.0,56.3,0.0
956770,99999,19400421,69.1,,,,,7.5,12.0,,77.5,58.3,0.0
956770,99999,19400422,71.5,,,,,9.2,15.0,,77.0,65.7,0.0
956770,99999,19400423,60.0,,,,,3.0,6.0,,66.2,53.8,0.0
956770,99999,19400424,60.0,,,,,14.0,15.9,,62.1,58.6,0.0
956770,99999,19400425,58.5,,,,,10.8,19.0,,59.5,57.0,0.0
956770,99999,19400426,57.7,,,,,2.3,5.1,,61.9,53.2,0.0
956770,99999,19400427,62.1,,,,,2.2,5.1,,67.3,55.9,0.0
956770,99999,19400428,67.6,,,,,10.5,14.0,,72.5,63.3,0.0
956770,99999,19400429,62.8,,,,,11.3,18.1,,73.0,52.0,0.0
956770,99999,19400430,54.6,,,,,13.0,26.0,,56.8,52.9,0.0
956770,99999,19400501,55.8,,,,,5.7,13.0,,61.0,50.4,0.0
956770,99999,19400502,56.8,,,,,3.0,8.9,,62.1,52.3,0.0
956770,99999,19400503,54.8,,,,,2.8,11.1,,60.6,50.0,0.0
956770,99999,19400504,57.2,,,,,6.2,8.9,,59.9,53.2,0.0
956770,99999,19400505,53.0,,,,,3.5,8.0,,59.9,46.0,0.0
956770,99999,19400506,61.7,,,,,7.5,15.9,,66.0,57.2,0.0
956770,99999,19400507,62.1,,,,,4.7,8.9,,71.8,53.2,0.0
956770,99999,19400508,55.5,,,,,1.3,5.1,,65.1,43.9,0.0
956770,99999,19400509,55.9,,,,,3.7,8.9,,61.3,50.4,0.0
956770,99999,19400510,57.3,,,,,8.5,14.0,,61.5,54.7,0.0
956770,99999,19400511,56.9,,,,,4.0,8.9,,66.9,48.7,0.0
956770,99999,19400512,55.0,,,,,5.8,12.0,,63.7,43.9,0.0
956770,99999,19400513,52.8,,,,,5.5,9.9,,58.3,46.2,0.0
956770,99999,19400514,56.8,,,,,4.8,7.0,,61.5,52.0,0.0
956770,99999,19400515,59.3,,,,,6.8,8.9,,64.4,55.6,0.0
956770,99999,19400516,58.6,,,,,15.7,20.0,,64.8,51.6,0.0
956770,99999,19400517,52.9,,,,,12.5,21.0,,58.6,47.5,0.0
956770,99999,19400518,57.1,,,,,7.5,9.9,,62.1,53.1,0.0
956770,99999,19400519,51.9,,,,,5.2,12.0,,60.4,41.2,0.0
956770,99999,19400520,52.8,,,,,1.7,7.0,,56.1,49.5,0.0
956770,99999,19400521,54.5,,,,,2.5,6.0,,56.7,52.0,0.0
956770,99999,19400522,54.2,,,,,3.3,7.0,,59.7,50.0,0.0
956770,99999,19400523,58.5,,,,,7.5,12.0,,64.0,54.5,0.0
956770,99999,19400524,59.2,,,,,13.7,15.9,,65.1,53.2,0.0
956770,99999,19400525,54.5,,,,,7.8,14.0,,59.5,48.9,0.0
956770,99999,19400526,47.4,,,,,2.5,6.0,,57.0,36.7,0.0
956770,99999,19400527,52.1,,,,,9.2,14.0,,62.1,41.4,0.0
956770,99999,19400528,57.4,,,,,7.7,8.9,,62.1,53.4,0.0
956770,99999,19400529,53.0,,,,,6.5,12.0,,62.2,47.3,0.0
956770,99999,19400530,54.3,,,,,3.7,8.9,,58.5,50.4,0.0
956770,99999,19400531,52.8,,,,,6.0,9.9,,57.9,46.6,0.0
956770,99999,19400601,53.7,,,,,3.7,8.9,,58.5,49.8,0.0
956770,99999,19400602,52.2,,,,,6.8,8.9,,59.4,45.1,0.0
956770,99999,19400603,46.9,,,,,0.0,,,56.1,36.0,0.0
956770,99999,19400604,49.3,,,,,1.3,4.1,,55.6,43.3,0.0
956770,99999,19400605,52.0,,,,,8.4,9.9,,56.1,48.0,0.0
956770,99999,19400606,50.4,,,,,9.0,16.9,,59.2,41.0,0.0
956770,99999,19400607,52.1,,,,,10.0,13.0,,54.7,48.7,0.0
956770,99999,19400608,52.0,,,,,5.0,9.9,,57.2,45.0,0.0
956770,99999,19400609,48.5,,,,,0.0,,,57.0,39.9,0.0
956770,99999,19400610,48.0,,,,,0.7,2.9,,58.3,37.2,0.0
956770,99999,19400611,51.3,,,,,4.5,8.9,,61.0,40.6,0.0
956770,99999,19400612,53.2,,,,,7.0,8.9,,61.0,45.3,0.0
956770,99999,19400613,58.1,,,,,8.0,8.9,,62.4,54.0,0.0
956770,99999,19400614,56.8,,,,,12.0,18.1,,62.1,49.5,0.0
956770,99999,19400615,50.6,,,,,12.0,23.9,,59.9,41.7,0.0
956770,99999,19400616,53.7,,,,,6.8,11.1,,55.9,52.2,0.0
956770,99999,19400617,53.1,,,,,5.7,8.9,,59.7,46.4,0.0
956770,99999,19400618,58.1,,,,,9.5,12.0,,64.8,52.9,0.0
956770,99999,19400619,52.4,,,,,8.0,13.0,,62.4,44.6,0.0
956770,99999,19400620,46.8,,,,,8.0,14.0,,53.1,38.8,0.0
956770,99999,19400621,47.8,,,,,3.3,7.0,,52.5,42.4,0.0
956770,99999,19400622,51.3,,,,,1.3,5.1,,54.1,47.8,0.0
956770,99999,19400623,50.7,,,,,0.7,2.9,,54.9,47.1,0.0
956770,99999,19400624,47.2,,,,,1.0,4.1,,54.9,39.0,0.0
956770,99999,19400625,47.0,,,,,4.8,8.9,,57.2,37.0,0.0
956770,99999,19400626,54.6,,,,,6.0,7.0,,59.5,51.1,0.0
956770,99999,19400627,58.8,,,,,5.2,8.9,,65.8,53.4,0.0
956770,99999,19400628,48.4,,,,,5.0,8.9,,61.3,36.0,0.0
956770,99999,19400629,56.6,,,,,6.8,12.0,,59.5,53.8,0.0
956770,99999,19400630,52.7,,,,,8.0,15.9,,61.2,45.0,0.0
956770,99999,19400701,52.1,,,,,6.7,12.0,,59.0,47.1,0.0
956770,99999,19400702,59.3,,,,,4.5,9.9,,63.7,55.8,0.0
956770,99999,19400703,60.0,,,,,5.3,7.0,,63.7,56.5,0.0
956770,99999,19400704,55.8,,,,,4.0,8.0,,62.2,48.0,0.0
956770,99999,19400705,52.0,,,,,5.2,12.0,,63.9,39.0,0.0
956770,99999,19400706,53.1,,,,,2.2,4.1,,62.8,42.8,0.0
