USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PrecipitationInches
411500,99999,19440319,79.2,70.7,1008.3,,99.4,9.3,15.0,,88.3,68.0,0.0
411500,99999,19440320,78.7,70.7,1007.3,,99.4,6.8,13.0,,91.0,70.3,0.0
411500,99999,19440321,75.8,69.7,1012.9,,99.4,13.3,28.9,,79.3,73.4,0.0
411500,99999,19440322,72.7,66.1,1015.5,,99.4,12.0,21.0,,78.1,70.3,0.0
411500,99999,19440323,75.0,67.7,1012.7,,99.4,3.7,8.0,,81.3,70.3,0.0
411500,99999,19440324,74.3,66.5,1011.8,,91.8,7.5,16.9,,80.1,70.3,99.99
411500,99999,19440325,74.1,64.3,1012.5,,99.4,7.2,14.0,,78.3,68.4,0.0
411500,99999,19440326,74.4,65.4,1010.9,,99.4,7.2,11.1,,79.3,67.3,0.0
411500,99999,19440327,75.5,66.4,1008.2,,99.4,5.8,11.1,,80.2,66.0,0.0
411500,99999,19440328,79.9,67.1,1003.7,,95.6,7.6,15.0,,90.3,68.0,0.0
411500,99999,19440329,73.6,66.7,1007.4,,24.5,16.8,23.9,,76.3,72.3,99.99
411500,99999,19440330,75.5,66.9,1010.6,,7.0,8.3,18.1,,81.0,71.2,0.0
411500,99999,19440331,69.2,57.2,1016.4,,24.5,26.7,29.9,,75.4,65.3,0.0
411500,99999,19440401,66.2,52.3,1016.6,,32.9,22.4,27.0,,68.4,63.3,0.0
411500,99999,19440402,67.0,57.6,1013.9,,40.3,15.0,22.9,,71.2,64.4,0.0
411500,99999,19440403,69.1,58.6,1010.2,,99.4,5.1,8.9,,77.4,59.0,0.0
411500,99999,19440404,75.5,59.1,1008.9,,99.4,5.9,12.0,,85.3,65.3,0.0
411500,99999,19440405,70.7,62.5,1013.1,,80.5,15.4,20.0,,72.3,66.9,0.0
411500,99999,19440406,71.2,61.7,1012.5,,76.8,13.9,23.9,,73.4,69.1,99.99
