USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PrecipitationInches
688160,99999,19730102,68.9,59.9,1015.3,,15.5,5.0,11.8,,75.2,64.4,0.0
688160,99999,19730103,69.4,58.1,1013.7,,,6.4,9.9,,77.0,62.6,0.0
688160,99999,19730114,76.6,56.8,1012.5,,18.6,6.2,11.8,,87.8,68.0,0.0
688160,99999,19730115,72.1,60.8,1013.3,,12.4,5.9,15.9,,80.6,64.4,0.0
688160,99999,19730122,67.1,59.5,1016.0,,9.2,5.7,13.0,,71.6,62.6,0.0
688160,99999,19730124,68.4,56.8,1014.7,,20.2,8.7,15.9,,73.4,66.2,0.0
688160,99999,19730128,70.3,59.9,1012.2,,,4.7,9.9,,80.6,62.6,0.0
688160,99999,19730129,66.7,,1011.8,,14.0,4.2,14.0,,68.0,64.4,99.99
688160,99999,19730130,72.5,50.5,1015.8,,,22.4,28.0,,78.8,64.4,0.0
688160,99999,19730203,74.8,58.5,1012.9,,12.6,14.7,22.9,,80.6,69.8,0.0
688160,99999,19730204,74.8,62.6,1013.3,,15.8,16.1,18.8,,84.2,69.8,0.0
688160,99999,19730207,76.6,61.7,1011.1,,16.2,8.2,16.9,,87.8,68.0,0.0
688160,99999,19730208,78.8,60.8,1009.5,,14.9,7.7,13.0,,91.4,68.0,0.0
688160,99999,19730209,66.9,61.9,1010.5,,7.0,8.4,15.9,,78.8,60.8,0.0
688160,99999,19730210,72.1,63.1,1012.6,,18.3,15.2,21.0,,84.2,66.2,0.0
688160,99999,19730211,72.7,60.8,1013.0,,14.9,18.1,23.9,,78.8,68.0,0.0
688160,99999,19730213,69.4,61.7,1011.2,,23.0,3.4,7.0,,77.0,64.4,99.99
688160,99999,19730214,68.9,62.6,1009.7,,16.2,3.7,15.0,,78.8,60.8,0.0
688160,99999,19730216,72.7,63.0,1012.0,,18.6,9.7,15.9,,80.6,64.4,0.0
688160,99999,19730219,70.3,51.8,1016.8,,14.6,18.7,23.9,,80.6,64.4,0.0
688160,99999,19730223,68.9,62.6,1013.0,,15.8,14.7,22.0,,75.2,66.2,0.0
688160,99999,19730225,65.3,,,,20.5,7.7,11.8,,78.8,57.2,0.0
688160,99999,19730226,68.5,52.7,1010.0,,14.6,5.2,8.9,,80.6,60.8,0.0
688160,99999,19730228,65.3,55.4,1010.5,,,2.7,8.9,,73.4,59.0,99.99
688160,99999,19730302,67.1,60.3,1014.6,,14.3,2.5,7.0,,75.2,62.6,99.99
688160,99999,19730305,69.1,57.9,1009.9,,14.4,3.7,5.8,,86.0,62.6,0.0
688160,99999,19730311,73.9,59.5,1011.1,,,7.4,15.0,,84.2,64.4,99.99
688160,99999,19730320,68.0,61.2,1016.2,,12.6,6.2,11.8,,78.8,62.6,0.0
688160,99999,19730321,68.0,61.7,1018.8,,10.2,5.4,9.9,,75.2,64.4,99.99
688160,99999,19730329,64.0,62.2,1015.9,,8.2,3.2,9.9,,66.2,62.6,99.99
688160,99999,19730330,65.8,46.8,1022.9,,29.8,15.5,22.9,,75.2,59.0,0.0
688160,99999,19730404,66.6,55.4,1016.2,,18.4,4.1,8.0,,77.0,60.8,0.0
688160,99999,19730410,65.3,,1015.6,,14.9,,,,78.8,55.4,0.0
688160,99999,19730413,61.9,55.4,1015.5,,15.5,16.9,49.9,,64.4,60.8,99.99
688160,99999,19730501,55.4,47.3,1018.7,,,8.4,15.0,,60.8,50.0,99.99
688160,99999,19730511,59.5,,1015.6,,4.8,,,,75.2,44.6,0.0
688160,99999,19730628,56.8,46.9,1015.6,,18.6,7.9,15.9,,64.4,46.4,0.0
688160,99999,19730705,53.2,41.9,1025.1,,22.4,,,,57.2,50.0,99.99
688160,99999,19730717,58.6,51.4,1016.2,,,19.3,20.0,,60.8,55.4,0.02
688160,99999,19730729,54.5,,1015.3,,28.0,5.0,9.9,,69.8,39.2,0.0
688160,99999,19730730,52.2,,1012.3,,14.6,4.5,8.0,,59.0,44.6,0.87
688160,99999,19730802,50.9,40.7,1026.4,,17.5,7.8,13.0,,57.2,42.8,0.12
688160,99999,19730808,54.0,48.6,1017.3,,12.1,10.0,15.9,,59.0,50.0,0.0
688160,99999,19730812,48.6,42.3,1023.4,,21.7,4.2,8.9,,62.6,39.2,0.0
688160,99999,19730821,54.5,43.7,1029.7,,26.4,,,,62.6,44.6,99.99
688160,99999,19730829,54.5,46.0,1024.0,,18.6,14.5,20.0,,60.8,50.0,0.0
688160,99999,19730913,53.6,46.8,1014.9,,13.0,6.5,12.0,,59.0,51.8,99.99
688160,99999,19730914,50.7,42.4,1017.1,,15.4,6.2,17.1,,55.4,44.6,0.0
688160,99999,19730920,55.8,49.5,1013.1,,8.3,15.0,28.0,,64.4,44.6,99.99
688160,99999,19730927,55.0,,1027.6,,21.7,10.5,21.0,,62.6,44.6,0.0
688160,99999,19731006,53.6,50.0,,,14.6,10.5,19.0,,60.8,48.2,99.99
688160,99999,19731008,55.8,47.8,1023.3,,15.5,4.5,8.9,,62.6,51.8,0.0
688160,99999,19731015,66.9,43.5,1018.1,,26.1,18.2,22.9,,75.2,59.0,0.0
688160,99999,19731026,59.5,54.5,1016.3,,8.5,2.8,11.1,,68.0,51.8,0.0
688160,99999,19731109,63.5,55.8,1013.0,,15.1,6.0,13.0,,68.0,60.8,0.0
688160,99999,19731124,69.4,59.0,1009.6,,13.0,,,,73.4,66.2,0.0
688160,99999,19731126,68.9,58.5,1013.7,,15.6,11.7,19.0,,75.2,62.6,0.0
688160,99999,19731205,63.5,55.8,1011.0,,11.5,8.4,15.0,,69.8,59.0,99.99
688160,99999,19731227,77.9,52.7,1012.6,,23.3,12.2,15.9,,84.2,68.0,0.0
688160,99999,19731228,73.0,59.0,,,10.4,12.2,18.1,,77.0,66.2,0.0
688160,99999,19731231,73.4,57.6,1014.5,,18.6,6.0,9.9,,77.0,69.8,0.0
688160,99999,19740104,68.9,62.2,1010.8,,,12.2,18.1,,77.0,62.6,99.99
688160,99999,19740113,71.6,55.8,1015.3,,16.6,11.3,15.9,,75.2,66.2,0.0
688160,99999,19740115,68.0,58.6,1012.1,,16.2,21.8,27.0,,71.6,62.6,0.0
688160,99999,19740121,69.8,62.6,1010.9,,15.8,19.7,28.9,,73.4,68.0,0.0
688160,99999,19740126,69.3,62.6,1010.6,,12.1,,,,77.0,64.4,0.0
688160,99999,19740207,64.4,48.7,1013.6,,21.7,,,,69.8,60.8,0.0
