USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
862970,99999,19730105,82.7,75.2,1005.5,,13.8,2.6,4.9,,93.2,62.6,99.99
862970,99999,19730108,73.8,71.2,1010.1,,,5.7,8.0,,75.2,73.4,99.99
862970,99999,19730109,80.2,71.6,1006.5,,10.1,5.6,8.0,,87.8,71.6,99.99
862970,99999,19730111,84.2,76.1,1009.9,,9.9,11.9,24.9,,87.8,71.6,99.99
862970,99999,19730112,89.6,77.6,1008.6,,17.1,8.8,13.0,,96.8,78.8,0.0
862970,99999,19730113,94.4,77.3,1006.0,,14.1,11.1,13.0,,96.8,77.0,0.0
862970,99999,19730114,84.9,76.6,1008.5,,10.6,8.5,13.0,,96.8,73.4,99.99
862970,99999,19730116,82.4,70.9,1012.1,,14.9,5.6,20.0,,95.0,66.2,0.0
862970,99999,19730118,91.4,75.6,1010.8,,12.4,3.5,4.9,,95.0,75.2,0.0
862970,99999,19730120,75.7,73.4,1008.9,,10.9,3.4,4.9,,77.0,71.6,99.99
862970,99999,19730121,77.4,75.2,1005.6,,12.4,5.1,8.0,,80.6,71.6,99.99
862970,99999,19730123,83.5,75.2,1005.6,,13.7,3.5,4.9,,93.2,69.8,0.0
862970,99999,19730126,82.4,70.3,1013.3,,17.1,5.4,8.0,,89.6,57.2,0.0
862970,99999,19730130,84.2,73.9,1013.1,,14.0,2.4,2.9,,89.6,71.6,0.0
862970,99999,19730203,87.8,77.4,1007.5,,12.4,,,,95.0,75.2,0.0
862970,99999,19730206,83.3,76.1,1011.5,,10.9,2.4,4.9,,91.4,73.4,0.0
862970,99999,19730207,87.3,78.4,1010.8,,12.4,9.2,13.0,,95.0,75.2,0.0
862970,99999,19730210,76.6,,1004.1,,9.3,10.6,17.9,,93.2,,0.0
862970,99999,19730212,75.2,72.5,1006.8,,,2.7,3.9,,80.6,71.6,99.99
862970,99999,19730213,73.0,46.0,1008.6,,11.7,4.4,4.9,,77.0,71.6,99.99
862970,99999,19730216,79.5,69.8,1011.1,,14.9,3.5,4.9,,84.2,68.0,0.0
862970,99999,19730221,72.9,68.9,1011.0,,12.4,11.0,13.0,,75.2,71.6,0.0
862970,99999,19730312,81.5,68.4,1014.1,,17.1,3.9,4.9,,87.8,75.2,0.0
862970,99999,19730318,68.4,68.4,1013.6,,,4.9,4.9,,69.8,68.0,99.99
862970,99999,19730320,79.7,71.6,1013.5,,,3.6,4.9,,86.0,69.8,0.0
862970,99999,19730321,79.2,72.5,1013.7,,12.4,5.0,13.0,,86.0,64.4,0.0
862970,99999,19730322,78.4,73.0,1014.7,,12.4,2.9,4.9,,84.2,68.0,0.0
862970,99999,19730326,79.2,68.7,1013.8,,12.4,2.5,3.9,,89.6,64.4,0.0
862970,99999,19730328,74.1,65.8,1012.6,,13.7,2.7,4.9,,82.4,64.4,0.0
862970,99999,19730329,71.2,65.8,1011.6,,9.3,1.9,4.9,,84.2,59.0,0.0
862970,99999,19730330,77.5,70.7,1012.9,,11.7,4.9,4.9,,84.2,68.0,0.0
862970,99999,19730404,85.1,76.1,1011.3,,10.1,3.2,4.9,,95.0,71.6,0.0
862970,99999,19730408,66.9,60.8,1017.8,,18.0,4.3,8.0,,78.8,55.4,0.0
862970,99999,19730412,75.5,70.1,1016.0,,11.9,1.8,2.9,,86.0,64.4,0.0
862970,99999,19730414,75.2,68.4,1011.8,,13.2,2.2,2.9,,86.0,64.4,0.0
862970,99999,19730420,70.9,65.1,1016.1,,12.4,2.4,2.9,,77.0,57.2,0.0
862970,99999,19730421,73.0,66.2,1015.6,,12.4,2.3,2.9,,82.4,59.0,0.0
862970,99999,19730426,66.2,61.7,1015.5,,9.3,3.4,8.0,,77.0,60.8,99.99
862970,99999,19730427,73.9,60.8,1014.4,,14.0,2.9,3.9,,80.6,50.0,0.0
862970,99999,19730504,69.8,,1019.0,,10.9,2.7,3.9,,73.4,64.4,99.99
862970,99999,19730506,67.6,67.6,1016.0,,,3.9,4.9,,69.8,66.2,99.99
862970,99999,19730507,67.6,63.1,1024.7,,11.0,3.6,4.9,,71.6,59.0,0.0
