USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
037720,99999,19481201,37.6,37.2,,,0.0,3.4,8.9,,44.4,33.4,0.0
037720,99999,19481202,48.6,44.5,,,0.0,11.4,19.0,,53.4,40.3,0.0
037720,99999,19481203,54.1,50.9,,,0.0,11.5,15.9,,56.3,51.3,0.0
037720,99999,19481204,46.7,43.1,,,0.0,6.4,14.0,,51.3,35.4,0.0
037720,99999,19481205,43.0,39.2,,,0.0,10.5,19.0,,48.4,33.4,0.0
037720,99999,19481206,51.1,47.7,,,0.0,12.0,21.0,,54.3,47.3,0.0
037720,99999,19481207,55.3,49.1,,,0.0,17.8,26.0,,57.4,53.4,0.0
037720,99999,19481208,50.3,47.2,,,0.0,10.6,16.9,,54.3,46.4,0.0
037720,99999,19481209,49.8,45.4,,,0.0,16.7,35.0,,52.3,46.4,0.0
037720,99999,19481210,49.7,45.5,,,0.0,13.8,19.0,,51.3,47.3,0.0
037720,99999,19481211,51.5,48.0,,,0.0,12.0,16.9,,54.3,47.3,0.0
037720,99999,19481212,49.8,47.9,,,0.0,7.5,14.0,,53.4,44.4,0.0
037720,99999,19481213,50.6,48.9,,,0.0,11.0,16.9,,55.4,44.4,0.0
037720,99999,19481214,55.1,51.3,,,0.0,16.1,19.0,,57.4,52.3,0.0
037720,99999,19481215,43.7,39.0,,,0.0,9.9,16.9,,52.3,37.4,0.0
037720,99999,19481216,41.0,37.5,,,0.0,7.5,14.0,,48.4,37.4,0.0
037720,99999,19481217,44.2,42.2,,,0.0,5.4,8.9,,51.3,37.4,0.0
037720,99999,19481218,43.9,39.5,,,0.0,6.2,8.9,,47.3,39.4,0.0
037720,99999,19481219,40.9,34.9,,,0.0,9.2,14.0,,44.4,35.4,0.0
037720,99999,19481220,39.7,32.7,,,0.0,10.5,15.0,,41.4,38.3,0.0
037720,99999,19481221,42.4,36.9,,,0.0,8.7,13.0,,45.3,39.4,0.0
037720,99999,19481222,38.8,32.9,,,0.0,9.1,14.0,,40.3,36.3,0.0
037720,99999,19481223,36.9,32.9,,,0.0,6.7,9.9,,42.4,31.3,0.0
037720,99999,19481224,41.0,34.9,,,0.0,8.7,16.9,,45.3,36.3,0.0
037720,99999,19481225,34.3,31.4,,,0.0,4.1,13.0,,39.4,26.4,0.0
037720,99999,19481226,28.1,28.1,,,0.0,3.0,9.9,,31.3,19.4,0.0
037720,99999,19481227,32.4,30.6,,,0.0,6.8,9.9,,35.4,26.4,0.0
037720,99999,19481228,39.6,36.6,,,0.0,8.3,20.0,,49.3,32.4,0.0
037720,99999,19481229,41.9,35.4,,,0.0,12.1,19.0,,46.4,37.4,0.0
037720,99999,19481230,43.5,39.0,,,0.0,18.3,28.0,,49.3,34.3,0.0
037720,99999,19481231,39.1,34.7,,,0.0,12.3,20.0,,43.3,34.3,0.0
037720,99999,19490101,44.1,38.7,968.0,,7.1,21.7,33.0,,49.3,41.0,0.08
037720,99999,19490102,42.3,35.1,984.0,,7.1,13.2,22.9,,47.3,34.0,0.04
037720,99999,19490103,33.7,30.6,1002.8,,5.3,8.4,13.0,,37.4,30.0,0.0
037720,99999,19490104,41.0,39.2,1001.8,,4.4,8.6,15.0,,49.3,30.9,0.1
037720,99999,19490105,40.2,36.6,1021.9,,2.9,6.6,11.1,,44.4,34.0,0.0
037720,99999,19490106,45.0,43.6,1033.8,,2.0,7.2,9.9,,50.4,37.0,99.99
037720,99999,19490107,48.7,45.5,1028.8,,7.5,12.3,20.0,,51.3,46.9,0.02
