USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PrecipitationInches
071500,99999,19400621,65.8,,1015.5,,4.5,9.8,13.0,,73.0,59.0,0.0
071500,99999,19400622,63.2,,1003.6,,5.5,3.8,8.9,,77.0,54.0,0.0
071500,99999,19400623,64.2,,995.5,,2.6,1.9,1.9,,72.0,61.0,99.99
071500,99999,19400624,66.6,,997.2,,6.8,3.2,8.9,,77.0,59.0,0.0
071500,99999,19400625,67.6,,1003.1,,8.5,12.0,23.9,,72.0,64.0,0.0
071500,99999,19400626,60.6,,1014.1,,7.7,11.4,13.0,,66.0,57.0,99.99
071500,99999,19400627,58.8,,1023.2,,4.2,6.6,13.0,,70.0,52.0,99.99
071500,99999,19400628,59.2,,1026.9,,15.4,3.2,8.9,,73.0,48.0,0.0
071500,99999,19400629,62.2,,1025.8,,6.2,1.6,1.9,,79.0,50.0,0.0
071500,99999,19400630,66.6,,1025.7,,5.5,3.6,8.9,,81.0,55.0,0.0
071500,99999,19400701,50.6,,1024.6,,1.6,6.0,8.9,,64.0,,0.0
071500,99999,19400702,66.8,,1018.6,,1.8,3.0,5.1,,81.0,59.0,0.0
071500,99999,19400703,66.4,,1011.8,,2.5,3.2,5.1,,73.0,55.0,99.99
071500,99999,19400704,64.7,,1010.1,,6.8,11.5,23.9,,73.0,59.0,0.0
071500,99999,19400705,61.2,,1013.1,,4.3,3.7,8.9,,68.0,55.0,99.99
071500,99999,19400707,62.8,,1006.5,,8.9,9.0,13.0,,68.0,57.0,99.99
071500,99999,19400708,62.4,,1011.7,,10.7,9.4,18.1,,68.0,57.0,99.99
071500,99999,19400709,61.6,,1021.8,,9.2,2.8,8.9,,77.0,52.0,0.0
071500,99999,19400710,69.2,,1014.4,,9.8,1.6,5.1,,79.0,57.0,0.0
071500,99999,19400711,67.4,,1012.8,,8.7,7.1,8.9,,73.0,63.0,99.99
071500,99999,19400712,61.6,,1016.3,,12.4,7.4,13.0,,68.0,55.0,99.99
071500,99999,19400713,62.1,,1016.5,,8.7,10.4,18.1,,70.0,57.0,0.2
071500,99999,19400714,67.8,,1012.0,,5.6,6.8,8.9,,77.0,61.0,99.99
071500,99999,19400715,66.1,,1008.1,,5.1,6.0,18.1,,75.0,61.0,99.99
071500,99999,19400716,62.1,,1008.6,,6.4,6.3,8.9,,64.0,59.0,0.0
