USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PrecipitationInches
999999,14732,19480701,81.3,63.0,1015.9,1013.9,11.5,9.6,15.9,,87.1,73.0,0.0
999999,14732,19480702,73.2,53.6,1020.6,1018.5,14.9,11.7,17.1,,82.0,64.9,0.0
999999,14732,19480703,75.1,55.6,1020.0,1018.0,10.3,5.7,11.1,,82.9,66.9,0.0
999999,14732,19480704,77.5,62.6,1019.3,1017.2,7.0,3.8,8.0,,90.0,66.9,0.0
999999,14732,19480705,82.0,67.1,1017.7,1015.7,4.6,8.8,15.0,,93.0,72.0,0.0
999999,14732,19480706,78.3,67.7,1007.3,1005.3,7.3,12.9,20.0,,90.0,71.1,99.99
999999,14732,19480707,68.5,56.8,1009.6,1007.5,14.1,13.0,18.1,,75.9,60.1,99.99
999999,14732,19480708,72.2,54.7,1021.0,1019.0,8.4,7.0,12.0,,86.0,63.0,0.0
999999,14732,19480709,76.1,56.8,1025.1,1023.1,7.0,7.3,15.0,,90.0,66.0,0.0
999999,14732,19480710,76.4,55.9,1023.5,1021.5,9.1,9.3,15.9,,84.9,68.0,0.0
999999,14732,19480711,78.8,63.6,1018.3,1016.2,8.5,12.3,15.9,,88.0,70.0,0.0
999999,14732,19480712,80.8,67.0,1016.1,1014.1,4.9,11.1,15.9,,90.0,72.0,0.0
999999,14732,19480713,76.7,69.7,1013.5,1011.5,5.0,8.6,15.9,,82.0,73.0,99.99
999999,14732,19480714,75.5,67.3,1011.5,1009.5,7.6,9.0,15.0,,82.9,72.0,99.99
999999,14732,19480715,73.2,61.3,1017.7,1015.6,11.3,9.4,15.9,,81.0,66.9,0.0
999999,14732,19480716,73.7,59.5,1020.0,1018.0,7.2,5.7,15.0,,84.0,64.9,0.0
