USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PrecipitationInches
085150,99999,19440807,76.7,66.5,1027.8,,26.0,8.5,13.0,,80.2,69.3,0.0
085150,99999,19440808,75.8,65.5,1027.7,,19.9,9.8,13.0,,81.3,68.4,0.0
085150,99999,19440809,74.0,67.2,1024.4,,10.5,10.0,13.0,,79.3,70.3,99.99
085150,99999,19440810,76.0,62.4,1021.2,,16.5,8.4,9.9,,84.4,69.3,99.99
085150,99999,19440811,76.3,62.3,1021.7,,25.9,5.5,7.0,,82.4,66.4,0.0
085150,99999,19440812,76.0,62.9,1023.2,,20.6,4.7,7.0,,81.3,64.4,99.99
085150,99999,19440813,77.5,62.7,1022.2,,19.9,5.8,9.9,,83.3,65.3,0.0
085150,99999,19440814,76.7,68.5,1017.7,,14.3,11.1,15.9,,82.4,70.3,99.99
085150,99999,19440815,77.9,68.5,1017.3,,17.0,4.4,8.9,,82.4,70.3,0.0
085150,99999,19440816,77.9,62.3,1021.3,,19.9,4.3,7.0,,86.4,65.3,0.0
085150,99999,19440817,79.6,67.7,1021.5,,18.2,6.3,9.9,,87.3,65.3,0.0
085150,99999,19440818,77.8,72.6,1018.3,,5.8,9.0,15.9,,82.4,74.3,99.99
085150,99999,19440819,75.2,64.3,1020.5,,11.9,8.9,12.0,,80.2,66.4,0.0
085150,99999,19440820,76.9,64.8,1022.8,,16.7,10.4,13.0,,80.2,71.2,0.0
085150,99999,19440821,75.0,57.7,1024.9,,23.4,8.5,9.9,,81.3,66.4,0.0
085150,99999,19440822,74.3,60.8,1022.3,,25.5,4.1,8.9,,79.3,65.3,0.0
085150,99999,19440823,77.3,67.4,1020.7,,25.2,5.7,9.9,,82.4,71.2,99.99
085150,99999,19440824,73.5,59.3,1025.3,,19.4,11.8,14.0,,78.3,67.3,0.0
