USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PrecipitationInches
727930,24233,19480101,46.7,42.5,999.2,985.1,8.5,14.1,22.9,,51.4,42.4,0.47
727930,24233,19480102,42.2,40.0,998.3,984.2,6.8,11.2,17.1,,46.9,36.3,0.59
727930,24233,19480103,39.9,36.0,1015.0,1000.5,9.3,11.1,17.1,,45.3,35.4,0.43
727930,24233,19480104,41.3,37.5,1013.3,998.9,8.6,10.8,19.0,,45.3,34.3,0.31
727930,24233,19480105,38.2,31.3,1018.4,1003.7,17.8,7.7,13.0,,45.3,32.0,0.16
727930,24233,19480106,44.2,41.0,1008.1,993.9,7.3,7.3,15.0,,48.4,39.4,0.43
727930,24233,19480107,44.2,41.3,1006.2,992.0,5.5,8.0,15.9,,50.4,39.9,0.39
727930,24233,19480108,42.9,37.0,1019.2,1004.7,9.0,12.6,19.0,,48.4,35.4,0.04
727930,24233,19480109,39.9,30.6,1024.4,1009.8,20.4,8.6,17.1,,50.4,31.3,0.12
727930,24233,19480110,41.0,36.9,1014.5,1000.1,8.5,12.5,22.9,,48.0,34.3,0.75
727930,24233,19480111,37.8,35.3,1023.6,1009.0,8.6,11.1,17.1,,42.4,32.4,0.01
727930,24233,19480112,34.5,31.7,1036.0,1021.1,9.0,5.3,30.1,,41.4,26.1,0.0
727930,24233,19480113,35.6,28.6,1035.1,1020.2,9.6,11.2,15.0,,45.3,29.3,0.0
727930,24233,19480114,33.7,30.2,1031.3,1016.5,2.1,5.5,13.0,,42.1,26.4,0.0
727930,24233,19480115,33.9,33.1,1032.3,1017.4,0.4,6.0,11.1,,37.0,31.3,0.0
727930,24233,19480116,31.9,31.1,1031.4,1016.5,0.2,5.7,8.9,,34.3,28.4,0.0
727930,24233,19480117,32.0,31.7,1028.6,1013.7,0.1,3.7,8.0,,35.4,29.3,0.0
727930,24233,19480118,31.7,31.4,1026.7,1011.8,0.1,4.9,11.1,,34.0,28.4,0.0
727930,24233,19480119,30.9,30.4,1023.5,1008.6,0.1,2.7,7.0,,34.3,27.3,0.0
727930,24233,19480120,31.8,31.5,1028.4,1013.5,0.4,3.7,7.0,,36.3,29.3,0.0
727930,24233,19480121,36.2,34.5,1032.9,1018.0,1.0,1.4,7.0,,48.4,32.4,0.0
727930,24233,19480122,44.3,40.4,1029.0,1014.4,5.3,9.0,15.9,,47.3,41.0,0.2
727930,24233,19480123,45.7,44.1,1026.2,1011.7,6.1,9.6,17.1,,47.3,43.3,0.0
727930,24233,19480124,43.0,40.8,1023.9,1009.4,5.5,4.8,10.1,,46.0,34.3,0.12
727930,24233,19480125,37.8,30.2,1027.7,1013.1,17.2,10.5,14.0,,46.4,30.4,0.0
727930,24233,19480126,38.2,10.7,1033.2,1018.3,39.6,12.4,21.0,,45.3,32.4,0.0
727930,24233,19480127,40.0,8.2,1028.1,1013.6,42.8,8.4,13.0,,53.4,33.4,0.0
