USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PrecipitationInches
107380,99999,19410201,33.4,31.0,1002.4,,1.4,2.0,5.1,,37.0,25.0,0.47
107380,99999,19410202,31.6,26.5,1007.9,,12.2,12.4,18.1,,36.0,28.0,0.08
107380,99999,19410203,29.4,22.0,999.2,,6.0,8.2,13.0,,34.0,27.0,0.01
107380,99999,19410204,23.8,21.2,1016.0,,1.5,13.0,13.0,,25.0,23.0,0.02
107380,99999,19410205,19.4,16.4,1021.7,,2.2,3.0,5.1,,21.0,18.0,0.06
107380,99999,19410206,20.6,14.0,1012.6,,2.2,5.4,8.9,,25.0,18.0,0.02
107380,99999,19410207,32.2,27.6,1015.7,,3.2,15.2,18.1,,37.0,21.0,0.05
107380,99999,19410208,40.6,37.4,1017.7,,12.4,10.0,13.0,,43.0,36.0,0.06
107380,99999,19410209,44.6,37.8,1022.6,,27.3,14.2,18.1,,50.0,37.0,0.01
107380,99999,19410210,39.6,35.8,1020.2,,6.0,1.4,5.1,,46.0,30.0,0.0
107380,99999,19410211,43.0,37.4,1020.2,,8.0,7.4,8.9,,48.0,36.0,0.05
107380,99999,19410212,38.2,35.4,1006.2,,1.3,1.6,1.9,,45.0,30.0,0.0
107380,99999,19410213,45.4,42.2,999.0,,7.0,3.4,5.1,,48.0,36.0,0.05
107380,99999,19410214,42.8,34.8,1001.8,,27.3,5.2,8.9,,50.0,34.0,0.2
107380,99999,19410215,42.4,33.6,1005.4,,31.1,8.6,18.1,,48.0,30.0,0.0
107380,99999,19410216,37.0,33.4,,,11.2,5.4,8.9,,39.0,32.0,0.04
107380,99999,19410217,42.6,34.6,995.7,,12.4,1.4,5.1,,48.0,32.0,0.0
107380,99999,19410218,41.6,34.0,995.1,,19.9,14.2,18.1,,50.0,36.0,0.01
107380,99999,19410219,40.2,31.4,997.0,,22.4,16.4,23.9,,45.0,34.0,0.02
107380,99999,19410220,42.0,36.6,997.7,,16.2,8.2,13.0,,55.0,34.0,0.04
107380,99999,19410221,33.8,27.8,997.3,,8.5,8.6,18.1,,45.0,27.0,0.0
107380,99999,19410222,31.5,26.3,1005.4,,7.1,10.0,13.0,,36.0,28.0,0.2
107380,99999,19410223,33.8,31.8,994.1,,7.8,13.0,23.9,,41.0,21.0,0.16
107380,99999,19410224,33.0,28.2,1001.3,,7.6,7.8,18.1,,37.0,25.0,0.02
107380,99999,19410225,31.2,25.1,1010.2,,3.2,6.8,8.9,,36.0,27.0,0.34
107380,99999,19410226,30.2,22.8,1016.6,,2.0,0.0,,,34.0,23.0,0.02
107380,99999,19410227,29.8,22.6,1024.6,,2.9,3.0,8.9,,41.0,16.0,0.0
107380,99999,19410228,44.0,38.8,1019.8,,7.7,12.2,13.0,,48.0,34.0,0.18
107380,99999,19410301,47.8,44.2,1019.9,,11.2,12.6,18.1,,52.0,41.0,0.14
107380,99999,19410302,54.2,39.4,1014.9,,31.1,12.6,18.1,,63.0,41.0,0.0
107380,99999,19410303,47.6,41.6,1008.1,,13.7,10.6,18.1,,54.0,41.0,0.08
107380,99999,19410304,43.4,38.0,1002.0,,12.4,6.8,13.0,,50.0,39.0,0.14
107380,99999,19410305,38.2,31.6,1002.5,,14.9,9.0,18.1,,41.0,34.0,0.04
107380,99999,19410306,41.0,29.0,1006.5,,8.1,8.8,13.0,,50.0,25.0,0.0
107380,99999,19410307,51.8,38.2,1006.4,,19.9,9.4,18.1,,61.0,37.0,0.0
107380,99999,19410308,48.4,40.2,1005.4,,8.0,6.6,13.0,,54.0,37.0,0.02
107380,99999,19410309,46.4,32.2,1010.7,,31.1,6.0,13.0,,54.0,34.0,0.3
107380,99999,19410310,46.6,32.6,1011.0,,27.3,3.6,8.9,,55.0,30.0,0.0
107380,99999,19410311,44.2,33.4,1016.6,,7.5,6.8,13.0,,50.0,30.0,0.0
107380,99999,19410312,37.8,26.4,1022.1,,12.2,17.6,23.9,,43.0,30.0,99.99
107380,99999,19410313,42.3,22.8,1019.6,,17.1,12.0,13.0,,50.0,27.0,0.0
107380,99999,19410314,44.6,26.0,1022.9,,14.9,5.4,8.9,,54.0,28.0,0.0
107380,99999,19410315,49.0,29.6,1027.0,,18.6,3.6,8.9,,61.0,30.0,0.0
107380,99999,19410316,48.0,33.6,1025.3,,8.7,5.8,13.0,,57.0,28.0,0.0
107380,99999,19410317,38.0,28.6,1025.1,,4.5,8.2,13.0,,45.0,32.0,0.0
107380,99999,19410318,34.8,18.0,1029.2,,11.2,8.4,13.0,,41.0,23.0,0.0
107380,99999,19410319,38.2,18.8,1027.3,,8.7,2.4,5.1,,50.0,19.0,0.0
107380,99999,19410320,39.8,25.4,1025.9,,3.0,7.0,13.0,,48.0,21.0,0.0
107380,99999,19410321,43.0,26.0,1020.6,,3.7,8.0,18.1,,55.0,23.0,0.0
107380,99999,19410322,35.8,33.8,1017.4,,1.5,8.4,18.1,,41.0,34.0,0.24
107380,99999,19410323,40.0,38.0,1007.5,,3.1,16.2,18.1,,48.0,32.0,0.71
107380,99999,19410324,35.8,26.7,1020.4,,8.1,6.2,8.9,,41.0,28.0,0.0
