USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PrecipitationInches
947670,99999,19430923,53.6,47.4,,,99.4,3.1,7.0,,62.4,48.4,0.0
947670,99999,19430924,61.9,49.3,,,99.4,7.4,9.9,,69.3,56.3,99.99
947670,99999,19430925,58.2,52.0,,,93.7,4.4,8.9,,62.4,54.3,0.0
947670,99999,19430926,58.0,53.7,,,54.4,5.0,8.0,,63.3,49.3,99.99
947670,99999,19430927,56.8,52.8,,,42.8,5.4,15.0,,64.4,48.4,99.99
947670,99999,19430928,62.0,54.3,,,67.5,8.9,21.0,,69.3,53.4,99.99
947670,99999,19430929,55.8,53.9,,,27.1,11.8,21.0,,61.3,53.4,99.99
947670,99999,19430930,60.0,53.6,,,74.5,4.3,8.9,,64.4,55.4,0.0
947670,99999,19431001,60.5,53.4,1016.0,,99.4,4.9,11.1,,66.4,55.4,0.0
947670,99999,19431002,62.1,55.2,1013.2,,80.6,7.4,13.0,,69.3,52.3,0.0
947670,99999,19431003,56.3,51.2,1021.2,,99.4,5.9,12.0,,62.4,51.3,0.0
947670,99999,19431004,60.3,51.7,1020.3,,86.7,6.2,9.9,,66.4,52.3,0.0
947670,99999,19431005,65.3,56.5,1016.4,,99.4,11.4,15.9,,70.3,60.3,0.0
947670,99999,19431006,61.4,55.4,1016.1,,99.4,3.9,9.9,,67.3,53.4,0.0
947670,99999,19431007,68.3,57.3,1012.6,,76.0,4.4,7.0,,80.2,60.3,99.99
947670,99999,19431008,62.6,58.0,1012.5,,67.2,2.5,12.0,,68.4,58.3,99.99
947670,99999,19431009,62.9,60.0,1006.0,,63.8,15.8,28.0,,68.4,59.4,99.99
947670,99999,19431010,61.5,55.2,1006.3,,99.4,16.0,22.0,,68.4,58.3,99.99
947670,99999,19431011,61.9,55.2,1007.8,,80.7,10.1,16.9,,65.3,57.4,0.0
947670,99999,19431012,63.1,55.9,1007.2,,99.4,10.2,21.0,,72.3,56.3,99.99
947670,99999,19431013,57.6,51.7,1014.7,,99.4,10.7,19.0,,62.4,51.3,99.99
947670,99999,19431014,58.2,51.9,1015.9,,87.4,6.0,12.0,,62.4,52.3,99.99
947670,99999,19431015,59.6,52.7,1016.4,,99.4,8.5,15.0,,66.4,54.3,0.0
