USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
071470,99999,19450320,49.5,45.5,1029.2,,6.8,4.8,9.9,,53.4,45.3,99.99
071470,99999,19450321,50.3,44.2,1029.8,,1.1,2.5,4.1,,58.3,42.4,0.0
071470,99999,19450322,51.3,41.5,1027.9,,5.8,4.4,9.9,,63.3,37.4,0.0
071470,99999,19450323,57.6,41.0,1021.2,,8.3,6.5,11.1,,70.3,45.3,0.0
071470,99999,19450324,58.6,38.5,1014.4,,49.4,8.5,15.9,,68.4,47.3,0.0
071470,99999,19450325,54.7,41.4,1010.2,,7.0,7.4,16.9,,61.3,49.3,99.99
071470,99999,19450326,50.5,45.1,1012.9,,72.4,5.9,13.0,,55.4,45.3,99.99
071470,99999,19450327,45.4,41.6,1022.4,,3.2,8.0,13.0,,46.4,43.3,99.99
071470,99999,19450328,46.9,44.7,1022.5,,5.6,5.8,13.0,,51.3,40.3,99.99
071470,99999,19450329,53.1,49.4,1019.9,,8.1,8.4,13.0,,59.4,49.3,99.99
071470,99999,19450330,50.6,42.3,1021.7,,57.3,6.5,9.9,,57.4,46.4,99.99
071470,99999,19450331,48.2,42.2,1023.3,,56.9,7.3,13.0,,52.3,40.3,0.0
071470,99999,19450401,53.0,49.0,1017.6,,45.9,9.7,13.0,,58.3,46.4,99.99
071470,99999,19450402,53.4,49.9,1011.9,,5.6,11.6,16.9,,55.4,45.3,99.99
071470,99999,19450403,45.9,41.6,1016.5,,27.3,10.1,15.9,,53.4,40.3,99.99
071470,99999,19450404,46.9,41.0,1021.4,,8.9,5.5,9.9,,53.4,40.3,0.0
071470,99999,19450405,48.5,42.5,1022.3,,8.5,6.7,13.0,,56.3,42.4,99.99
071470,99999,19450406,50.6,43.1,1028.4,,6.9,7.1,13.0,,59.4,40.3,0.0
071470,99999,19450407,47.8,40.7,1031.1,,5.2,10.2,13.0,,54.3,42.4,99.99
071470,99999,19450408,48.6,37.1,1029.9,,6.6,13.8,22.0,,58.3,38.3,0.0
071470,99999,19450409,51.3,37.9,1027.5,,5.3,10.6,15.9,,63.3,38.3,0.0
071470,99999,19450410,57.6,39.4,1019.9,,21.9,7.3,13.0,,71.2,43.3,0.0
071470,99999,19450411,60.7,44.3,1010.8,,57.4,5.3,15.0,,72.3,50.4,0.0
071470,99999,19450412,57.1,52.6,1012.0,,5.8,4.4,7.0,,62.4,49.3,99.99
071470,99999,19450413,55.8,45.9,1016.0,,6.0,3.2,5.1,,65.3,46.4,0.0
071470,99999,19450414,61.2,51.3,1021.5,,24.4,4.7,8.9,,71.2,49.3,0.0
071470,99999,19450415,62.6,51.0,1024.4,,6.5,3.9,8.0,,74.3,50.4,0.0
071470,99999,19450416,66.0,51.3,1022.1,,8.1,7.0,11.1,,77.4,54.3,0.0
071470,99999,19450417,67.6,53.4,1022.1,,5.8,3.5,8.0,,79.3,52.3,0.0
071470,99999,19450418,65.4,51.9,1026.7,,9.2,6.3,9.9,,77.4,52.3,0.0
071470,99999,19450419,61.6,48.9,1027.5,,4.7,8.1,13.0,,71.2,53.4,0.0
071470,99999,19450420,63.0,47.1,1020.9,,21.6,3.8,7.0,,74.3,46.4,0.0
071470,99999,19450421,53.2,48.5,1013.8,,3.6,10.0,16.9,,56.3,45.3,0.0
071470,99999,19450422,48.1,38.3,1016.7,,29.2,7.5,13.0,,55.4,39.4,0.0
071470,99999,19450423,45.7,37.4,1019.6,,11.5,6.3,11.1,,52.3,38.3,0.0
071470,99999,19450424,49.6,39.1,1017.2,,14.2,6.6,9.9,,60.3,37.4,0.0
071470,99999,19450425,55.1,40.7,1011.8,,10.6,4.0,8.0,,67.3,44.4,0.0
071470,99999,19450426,55.6,48.6,1007.4,,5.6,2.6,6.0,,59.4,51.3,99.99
071470,99999,19450427,50.3,46.0,1005.8,,4.1,9.6,15.9,,57.4,43.3,99.99
071470,99999,19450428,41.9,34.6,1011.0,,30.4,10.0,22.0,,49.3,36.3,99.99
071470,99999,19450429,41.7,34.4,1011.7,,49.6,12.8,16.9,,50.4,36.3,99.99
071470,99999,19450430,38.5,31.8,1017.3,,22.8,9.3,22.0,,47.3,32.4,99.99
071470,99999,19450501,39.0,33.9,1016.8,,5.4,8.2,13.0,,49.3,31.3,99.99
071470,99999,19450502,39.7,34.8,1015.4,,15.3,5.8,9.9,,47.3,32.4,99.99
071470,99999,19450503,44.2,35.4,1012.5,,5.6,7.6,13.0,,52.3,33.4,99.99
071470,99999,19450504,46.7,39.9,1008.1,,21.4,8.1,15.0,,52.3,42.4,99.99
071470,99999,19450505,54.2,52.0,1008.7,,6.1,9.9,15.9,,59.4,46.4,99.99
071470,99999,19450506,58.0,54.0,1015.1,,30.8,6.8,8.9,,65.3,54.3,99.99
071470,99999,19450507,67.7,56.3,1015.0,,18.8,3.7,7.0,,81.3,55.4,0.0
071470,99999,19450508,71.8,56.0,1013.2,,46.2,5.2,9.9,,81.3,59.4,0.0
071470,99999,19450509,68.8,57.5,1013.9,,7.5,6.0,12.0,,79.3,59.4,0.0
071470,99999,19450510,69.7,57.4,1015.4,,29.9,4.9,9.9,,82.4,55.4,0.0
071470,99999,19450511,70.8,51.6,1016.8,,30.6,5.3,8.9,,81.3,60.3,0.0
071470,99999,19450512,73.1,53.2,1017.2,,42.3,4.9,9.9,,86.4,61.3,0.0
071470,99999,19450513,70.0,53.0,1016.3,,61.3,8.0,16.9,,82.4,57.4,0.0
071470,99999,19450514,60.8,47.6,1023.0,,46.6,5.3,11.1,,72.3,50.4,0.0
071470,99999,19450515,61.5,51.6,1022.3,,57.5,4.7,7.0,,73.4,49.3,0.0
071470,99999,19450516,71.1,56.1,1018.3,,37.7,4.9,9.9,,84.4,56.3,0.0
071470,99999,19450517,74.2,55.6,1014.8,,72.8,5.4,8.9,,85.3,63.3,0.0
071470,99999,19450518,61.4,54.8,1012.9,,6.0,6.1,11.1,,68.4,55.4,99.99
071470,99999,19450519,63.2,57.6,1006.6,,5.2,3.9,12.0,,74.3,54.3,99.99
071470,99999,19450520,61.6,55.4,1005.2,,57.3,4.4,12.0,,73.4,55.4,99.99
071470,99999,19450521,53.5,51.4,1005.3,,5.1,3.7,8.9,,57.4,48.4,99.99
071470,99999,19450522,53.3,47.8,1007.1,,53.3,6.6,9.9,,64.4,45.3,99.99
071470,99999,19450523,52.7,46.0,1007.5,,7.0,4.5,8.9,,59.4,45.3,99.99
071470,99999,19450524,51.3,45.8,1014.7,,5.3,5.0,9.9,,57.4,44.4,99.99
071470,99999,19450525,53.2,42.4,1013.4,,3.6,2.5,7.0,,61.3,43.3,0.0
071470,99999,19450526,53.2,,1008.5,,5.9,7.4,12.0,,57.4,48.4,99.99
071470,99999,19450527,55.0,,1006.3,,41.4,9.1,14.0,,60.3,50.4,99.99
071470,99999,19450528,59.4,,1005.3,,26.6,4.7,12.0,,69.3,52.3,0.0
071470,99999,19450529,56.1,,1006.6,,29.7,4.1,8.9,,62.4,51.3,99.99
071470,99999,19450530,56.0,,1013.9,,49.5,5.2,12.0,,64.4,49.3,0.0
071470,99999,19450531,57.9,,1017.8,,38.0,5.2,8.9,,66.4,48.4,0.0
071470,99999,19450601,56.9,,1016.7,,34.9,5.1,8.9,,64.4,51.3,99.99
071470,99999,19450602,58.8,,1019.0,,69.1,6.0,13.0,,69.3,48.4,0.0
071470,99999,19450603,66.3,,1015.0,,61.4,5.7,9.9,,77.4,50.4,0.0
071470,99999,19450604,61.1,59.3,1015.4,,26.5,5.8,13.0,,68.4,57.4,99.99
071470,99999,19450605,65.9,58.4,1016.7,,59.5,4.8,8.9,,75.4,56.3,99.99
071470,99999,19450606,68.6,59.6,1016.0,,57.3,5.3,9.9,,79.3,52.3,0.0
071470,99999,19450609,59.4,48.8,1026.9,,76.6,3.4,6.0,,67.3,49.3,0.0
071470,99999,19450610,60.8,48.3,1026.4,,53.7,3.3,7.0,,71.2,47.3,0.0
071470,99999,19450611,63.7,54.1,1023.4,,49.5,6.6,11.1,,74.3,55.4,0.0
071470,99999,19450612,61.4,53.6,1018.4,,26.7,8.0,13.0,,68.4,54.3,99.99
071470,99999,19450613,57.1,45.9,1026.6,,7.6,9.1,15.0,,67.3,47.3,0.0
071470,99999,19450614,58.9,48.0,1025.9,,23.0,6.5,11.1,,73.4,45.3,0.0
071470,99999,19450615,61.3,52.3,1021.8,,45.9,5.0,8.9,,70.3,53.4,0.0
071470,99999,19450616,59.8,48.7,1020.3,,45.5,6.5,9.9,,68.4,50.4,0.0
071470,99999,19450617,59.7,44.8,1025.5,,38.0,6.9,11.1,,69.3,51.3,0.0
071470,99999,19450618,65.8,49.3,1023.8,,6.0,4.7,8.0,,77.4,48.4,0.0
071470,99999,19450619,74.5,55.7,1015.3,,5.6,8.4,14.0,,88.3,57.4,0.0
071470,99999,19450620,70.6,59.5,1011.7,,7.1,6.0,12.0,,76.3,64.4,0.0
071470,99999,19450621,66.0,57.8,1014.6,,57.1,6.3,9.9,,74.3,56.3,99.99
071470,99999,19450622,68.0,54.2,1019.5,,56.7,3.5,7.0,,78.3,52.3,0.0
071470,99999,19450623,75.5,57.4,1020.3,,68.9,4.9,7.0,,86.4,64.4,0.0
071470,99999,19450624,69.2,58.8,1021.8,,7.7,7.4,13.0,,76.3,55.4,0.0
071470,99999,19450625,67.0,53.7,1024.1,,6.1,6.2,11.1,,79.3,53.4,0.0
071470,99999,19450626,66.5,54.1,1017.7,,4.7,6.7,9.9,,81.3,55.4,99.99
071470,99999,19450627,56.9,49.1,1015.5,,28.9,7.6,15.0,,64.4,49.3,0.0
071470,99999,19450628,53.5,49.4,1011.9,,10.8,3.9,7.0,,59.4,45.3,99.99
071470,99999,19450629,59.5,53.5,1011.7,,30.1,6.4,9.9,,68.4,53.4,99.99
071470,99999,19450630,61.0,48.8,1015.0,,65.2,6.2,11.1,,70.3,51.3,0.0
071470,99999,19450701,57.3,50.5,1010.4,,49.6,9.0,16.9,,63.3,52.3,99.99
071470,99999,19450702,56.9,50.6,1013.1,,30.2,10.4,16.9,,62.4,52.3,99.99
071470,99999,19450703,57.1,50.5,1018.0,,6.3,4.9,8.0,,67.3,50.4,0.0
071470,99999,19450704,61.3,50.0,1016.4,,4.6,1.9,5.1,,72.3,46.4,0.0
071470,99999,19450705,66.6,53.8,1012.4,,4.9,2.0,6.0,,77.4,53.4,0.0
071470,99999,19450706,71.5,56.2,1011.4,,29.5,4.2,9.9,,83.3,57.4,0.0
071470,99999,19450707,64.8,,1016.4,,80.3,4.2,9.9,,75.4,56.3,99.99
071470,99999,19450708,67.9,,1018.0,,26.9,2.3,4.1,,80.2,53.4,0.0
071470,99999,19450709,71.9,59.7,1010.7,,57.7,4.3,9.9,,83.3,61.3,99.99
071470,99999,19450710,61.7,56.8,1009.6,,29.6,8.6,13.0,,70.3,55.4,99.99
071470,99999,19450711,61.4,53.3,1015.7,,35.0,6.2,13.0,,69.3,54.3,0.0
071470,99999,19450712,67.3,53.6,1018.6,,37.8,5.1,11.1,,79.3,52.3,0.0
071470,99999,19450713,75.5,56.4,1015.0,,37.0,6.0,9.9,,87.3,59.4,0.0
071470,99999,19450714,82.1,59.0,1012.5,,57.0,6.8,9.9,,95.4,68.4,0.0
071470,99999,19450715,72.1,56.3,1009.8,,84.0,12.7,16.9,,86.4,60.3,99.99
071470,99999,19450716,64.4,53.8,1024.1,,57.6,8.1,13.0,,74.3,57.4,0.0
071470,99999,19450717,68.1,50.9,1023.1,,53.6,5.9,8.0,,78.3,55.4,0.0
071470,99999,19450718,75.2,53.0,1014.9,,57.6,6.9,9.9,,87.3,60.3,0.0
071470,99999,19450719,71.3,53.7,1013.7,,61.4,8.0,15.0,,79.3,62.4,0.0
071470,99999,19450720,67.4,53.6,1021.7,,65.3,8.7,15.9,,77.4,58.3,0.0
071470,99999,19450721,73.0,55.5,1020.6,,99.4,3.9,8.0,,86.4,57.4,0.0
071470,99999,19450722,67.1,54.5,1021.7,,91.8,10.4,15.9,,74.3,56.3,0.0
071470,99999,19450723,65.3,54.5,1026.1,,45.7,6.0,9.9,,76.3,52.3,0.0
071470,99999,19450724,68.1,53.8,1022.0,,7.2,5.0,9.9,,82.4,54.3,0.0
071470,99999,19450725,69.9,52.9,1016.4,,3.9,6.5,8.9,,88.3,53.4,0.0
071470,99999,19450726,70.7,57.2,1007.6,,11.7,8.3,11.1,,81.3,60.3,99.99
071470,99999,19450727,61.8,56.4,1011.2,,10.0,9.0,13.0,,65.3,55.4,99.99
071470,99999,19450728,61.5,49.2,1019.1,,13.9,5.0,11.1,,71.2,52.3,99.99
071470,99999,19450729,63.2,46.9,1023.7,,5.8,5.5,9.9,,75.4,48.4,0.0
071470,99999,19450730,63.8,51.0,1020.8,,10.7,6.2,12.0,,77.4,50.4,0.0
071470,99999,19450731,63.3,55.9,1019.2,,22.5,8.2,12.0,,73.4,55.4,0.0
071470,99999,19450801,62.1,55.3,1019.3,,44.9,7.8,13.0,,67.3,56.3,99.99
071470,99999,19450802,60.4,51.6,1021.9,,7.5,7.2,11.1,,67.3,54.3,99.99
071470,99999,19450803,64.0,53.2,1022.8,,5.0,5.6,9.9,,76.3,50.4,0.0
071470,99999,19450804,68.0,51.9,1018.9,,5.1,5.7,9.9,,82.4,53.4,0.0
071470,99999,19450805,70.6,53.4,1012.1,,5.1,5.8,13.0,,83.3,56.3,0.0
071470,99999,19450806,60.5,48.4,1011.4,,80.3,8.3,13.0,,69.3,50.4,0.0
071470,99999,19450807,59.7,46.9,1013.4,,99.4,4.8,8.0,,69.3,47.3,0.0
071470,99999,19450808,58.6,45.7,1011.4,,95.6,4.3,9.9,,68.4,47.3,99.99
071470,99999,19450809,60.1,49.8,1009.3,,44.7,6.3,15.0,,69.3,53.4,0.0
071470,99999,19450810,60.4,55.0,1007.2,,4.5,15.6,22.0,,70.3,54.3,99.99
071470,99999,19450811,64.5,58.5,1010.7,,4.6,6.4,11.1,,78.3,55.4,0.0
071470,99999,19450812,67.5,57.5,1011.2,,4.0,4.7,9.9,,78.3,56.3,0.0
071470,99999,19450813,66.8,57.6,1009.5,,3.5,7.8,13.0,,79.3,55.4,0.0
071470,99999,19450814,63.0,58.3,1010.4,,3.6,5.0,8.0,,70.3,58.3,99.99
071470,99999,19450815,62.7,56.6,1014.1,,30.0,6.3,14.0,,73.4,54.3,99.99
071470,99999,19450816,61.5,51.2,1018.0,,88.0,7.6,15.0,,72.3,49.3,0.0
071470,99999,19450817,64.8,53.9,1011.4,,45.6,6.0,11.1,,74.3,54.3,0.0
071470,99999,19450818,62.0,57.9,1004.6,,7.6,6.1,9.9,,69.3,58.3,99.99
071470,99999,19450819,59.4,57.2,1003.8,,3.5,5.3,12.0,,63.3,55.4,99.99
071470,99999,19450820,60.2,52.6,1008.7,,4.9,4.0,7.0,,65.3,55.4,99.99
