USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
417640,99999,19450228,67.7,62.6,1008.7,,43.9,16.4,18.1,,70.3,66.4,0.0
417640,99999,19450301,75.8,57.6,1008.6,,6.8,17.7,23.9,,90.3,64.4,0.0
417640,99999,19450302,74.4,54.3,1007.5,,19.7,25.2,43.9,,85.3,64.4,0.0
417640,99999,19450303,64.3,18.5,1015.2,,63.9,7.6,15.9,,76.3,50.4,0.0
417640,99999,19450304,61.2,24.4,1014.7,,14.4,6.8,9.9,,73.4,49.3,0.0
417640,99999,19450305,62.7,20.9,1016.0,,6.0,5.7,11.1,,76.3,46.4,0.0
417640,99999,19450306,64.9,19.9,1018.0,,53.0,6.7,9.9,,78.3,48.4,0.0
417640,99999,19450307,68.8,22.9,1017.9,,57.4,6.7,12.0,,83.3,52.3,0.0
417640,99999,19450308,75.2,25.0,1015.1,,88.0,4.3,8.0,,92.3,55.4,0.0
417640,99999,19450309,81.5,31.3,1012.0,,80.4,14.2,22.9,,98.2,62.4,0.0
417640,99999,19450310,76.9,48.9,1010.9,,31.6,8.3,21.0,,88.3,67.3,0.0
417640,99999,19450311,79.8,49.7,1011.0,,14.2,6.8,11.1,,93.4,68.4,0.0
417640,99999,19450312,83.3,52.6,1010.0,,72.5,12.9,21.0,,102.4,68.4,0.0
417640,99999,19450313,80.2,58.9,1009.8,,99.4,13.9,22.9,,101.3,66.4,0.0
417640,99999,19450314,81.6,52.6,1010.9,,42.1,6.8,13.0,,98.2,65.3,0.0
417640,99999,19450315,84.4,54.2,1010.0,,87.9,10.1,20.0,,104.4,67.3,0.0
417640,99999,19450316,86.6,49.1,1010.2,,91.8,8.4,15.9,,101.3,68.4,0.0
417640,99999,19450317,85.9,43.2,1008.0,,72.4,16.9,30.9,,103.3,67.3,0.0
417640,99999,19450318,82.3,54.1,1006.0,,25.9,14.4,23.9,,95.4,70.3,0.0
417640,99999,19450319,79.8,55.6,1008.3,,60.7,8.7,22.0,,95.4,67.3,0.0
417640,99999,19450320,80.8,55.9,1010.2,,99.4,10.0,20.0,,97.3,65.3,0.0
417640,99999,19450321,81.7,60.7,1012.2,,91.8,7.6,16.9,,98.2,69.3,0.0
417640,99999,19450322,83.2,42.8,1013.6,,76.5,9.0,15.0,,98.2,67.3,0.0
417640,99999,19450323,86.1,40.4,1011.6,,99.4,9.3,15.0,,104.4,69.3,0.0
417640,99999,19450324,86.6,45.8,1010.9,,99.4,6.5,9.9,,102.4,69.3,0.0
417640,99999,19450325,89.1,47.3,1011.5,,99.4,4.7,11.1,,105.3,72.3,0.0
417640,99999,19450326,88.9,33.9,1012.4,,99.4,8.2,15.9,,108.3,67.3,0.0
417640,99999,19450327,89.2,27.4,1011.6,,99.4,7.6,15.9,,110.3,65.3,0.0
417640,99999,19450328,88.3,33.7,1007.8,,99.4,10.0,21.0,,107.2,71.2,0.0
417640,99999,19450329,86.4,53.4,1005.5,,72.7,13.6,22.0,,104.4,70.3,0.0
417640,99999,19450330,85.5,54.2,1006.5,,38.3,16.8,23.9,,102.4,70.3,0.0
417640,99999,19450331,76.6,46.5,1007.4,,25.5,18.4,29.9,,89.2,65.3,0.0
417640,99999,19450401,72.4,24.8,1010.0,,99.4,9.6,15.9,,86.4,59.4,0.0
417640,99999,19450402,75.9,27.1,1010.2,,99.4,6.0,13.0,,89.2,57.4,0.0
417640,99999,19450403,78.9,23.7,1007.6,,80.4,4.8,8.0,,95.4,59.4,0.0
417640,99999,19450404,82.4,35.1,1006.6,,99.4,9.7,22.0,,98.2,65.3,0.0
417640,99999,19450405,82.4,55.2,1006.8,,99.4,16.7,23.9,,98.2,66.4,0.0
417640,99999,19450406,80.5,61.5,1004.7,,99.4,20.5,28.0,,94.3,71.2,0.0
417640,99999,19450407,80.3,47.7,1006.0,,56.5,11.7,21.0,,92.3,69.3,0.0
417640,99999,19450408,79.6,32.9,1009.5,,72.3,6.5,11.1,,92.3,67.3,0.0
417640,99999,19450409,80.5,34.3,1012.9,,84.2,5.0,12.0,,94.3,64.4,0.0
417640,99999,19450410,83.8,29.8,1012.7,,68.9,7.0,15.9,,98.2,67.3,0.0
417640,99999,19450411,86.0,35.3,1009.9,,99.4,12.1,20.0,,101.3,69.3,0.0
417640,99999,19450412,86.1,57.1,1006.3,,26.2,17.2,32.1,,100.2,72.3,0.0
417640,99999,19450413,89.6,54.9,1007.6,,46.1,9.5,16.9,,102.4,74.3,0.0
417640,99999,19450414,93.1,47.0,1008.2,,80.4,6.2,19.0,,107.2,79.3,0.0
417640,99999,19450415,92.4,47.5,1006.9,,68.9,13.7,22.9,,107.2,79.3,0.0
417640,99999,19450416,88.8,49.5,1008.0,,6.5,11.6,19.0,,97.3,77.4,0.0
417640,99999,19450417,83.8,52.3,1008.8,,3.9,9.9,15.9,,91.2,78.3,0.0
417640,99999,19450418,87.8,50.4,1008.1,,37.5,6.2,14.0,,97.3,74.3,0.0
417640,99999,19450419,89.6,48.9,1008.3,,64.8,7.8,21.0,,103.3,76.3,0.0
417640,99999,19450420,89.0,51.1,1007.1,,53.7,11.2,21.0,,105.3,74.3,0.0
417640,99999,19450421,88.4,57.9,1003.8,,60.8,20.6,29.9,,105.3,74.3,0.0
417640,99999,19450422,89.8,58.0,1003.0,,99.4,18.3,25.1,,109.2,76.3,0.0
417640,99999,19450423,88.0,66.4,1004.2,,99.4,15.4,22.9,,104.4,76.3,0.0
417640,99999,19450424,85.8,69.9,1003.8,,99.4,21.0,30.9,,101.3,77.4,0.0
417640,99999,19450425,89.0,68.7,1004.0,,11.0,10.8,15.9,,99.3,78.3,0.0
417640,99999,19450426,85.8,68.0,1003.7,,5.5,9.2,26.0,,102.4,72.3,99.99
417640,99999,19450427,89.1,57.5,1002.3,,6.0,13.9,29.9,,108.3,75.4,0.0
417640,99999,19450428,87.6,62.5,1003.0,,7.7,15.1,25.1,,105.3,73.4,0.0
417640,99999,19450429,85.8,65.8,1003.9,,76.6,17.7,22.9,,102.4,72.3,0.0
417640,99999,19450430,85.4,70.1,1002.8,,99.4,21.0,27.0,,99.3,75.4,0.0
417640,99999,19450501,90.1,57.9,1005.2,,65.0,12.9,25.1,,105.3,75.4,0.0
417640,99999,19450502,89.3,57.1,1006.4,,99.4,10.7,21.0,,105.3,74.3,0.0
417640,99999,19450503,86.1,61.5,1005.3,,83.9,13.3,26.0,,101.3,72.3,0.0
417640,99999,19450504,88.6,65.8,1003.2,,91.8,15.2,28.0,,104.4,75.4,0.0
417640,99999,19450505,91.0,62.9,1002.0,,11.3,18.9,25.1,,104.4,77.4,0.0
417640,99999,19450506,92.2,34.9,1003.2,,2.2,10.3,20.0,,104.4,79.3,0.0
417640,99999,19450507,90.6,46.1,1001.6,,4.7,9.7,21.0,,105.3,76.3,0.0
417640,99999,19450508,91.7,46.7,1002.3,,44.9,11.3,16.9,,109.2,76.3,0.0
417640,99999,19450509,91.5,53.0,1002.2,,10.3,10.9,23.9,,110.3,75.4,0.0
417640,99999,19450510,88.7,69.5,1003.4,,37.8,17.1,27.0,,106.3,77.4,0.0
417640,99999,19450511,88.9,64.8,1005.1,,57.2,17.1,22.9,,105.3,76.3,0.0
417640,99999,19450512,88.1,67.4,1005.8,,65.0,19.5,23.9,,103.3,77.4,0.0
417640,99999,19450513,88.6,65.8,1005.7,,84.2,20.0,26.0,,104.4,76.3,0.0
417640,99999,19450514,88.2,65.8,1004.7,,99.4,20.4,28.0,,104.4,76.3,0.0
417640,99999,19450515,88.6,70.3,1003.3,,99.4,21.2,28.0,,102.4,77.4,0.0
417640,99999,19450516,91.0,66.6,1001.0,,91.8,21.1,28.0,,107.2,78.3,0.0
417640,99999,19450517,96.2,67.4,998.7,,38.1,13.6,22.0,,115.3,80.2,99.99
417640,99999,19450518,96.6,65.7,997.5,,4.0,10.8,21.0,,115.3,84.4,0.0
417640,99999,19450519,93.6,69.2,998.0,,41.8,13.6,18.1,,109.2,80.2,0.0
417640,99999,19450520,91.9,73.3,999.8,,37.0,15.0,21.0,,106.3,80.2,0.0
417640,99999,19450521,92.4,73.4,1000.1,,11.6,17.3,23.9,,108.3,80.2,0.0
417640,99999,19450522,95.8,66.9,1000.0,,65.1,11.5,21.0,,110.3,80.2,0.0
417640,99999,19450523,99.1,47.4,998.9,,99.4,10.3,21.0,,114.3,80.2,0.0
