USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
162430,99999,19440301,48.0,44.7,1002.5,,11.8,5.7,15.9,,50.4,45.3,99.99
162430,99999,19440302,43.7,41.1,1007.1,,99.4,0.0,,,44.4,42.4,0.0
162430,99999,19440307,46.0,39.2,1017.8,,81.5,0.8,4.1,,49.3,42.4,0.0
162430,99999,19440308,45.3,39.4,1017.8,,72.6,1.9,7.0,,53.4,42.4,99.99
162430,99999,19440313,46.6,37.8,1003.3,,76.1,0.0,,,49.3,45.3,99.99
162430,99999,19440314,52.8,40.4,1000.9,,65.4,6.3,13.0,,59.4,44.4,99.99
162430,99999,19440320,52.3,44.4,1017.0,,94.9,2.7,6.0,,57.4,43.3,0.0
162430,99999,19440326,47.4,33.8,1017.2,,99.4,3.4,8.9,,54.3,39.4,0.0
162430,99999,19440327,38.8,31.8,1013.9,,99.4,1.3,5.1,,40.3,38.3,0.0
162430,99999,19440408,57.6,51.4,1020.3,,6.7,0.3,5.1,,64.4,49.3,0.0
162430,99999,19440414,59.1,54.3,1015.3,,44.1,4.1,9.9,,63.3,53.4,0.0
162430,99999,19440420,59.9,53.5,1018.8,,81.5,6.0,9.9,,64.4,54.3,0.0
162430,99999,19440421,51.3,49.9,1016.9,,7.8,1.6,5.1,,52.3,49.3,0.0
162430,99999,19440426,58.2,54.0,1006.7,,7.6,4.2,9.9,,61.3,56.3,99.99
162430,99999,19440427,58.3,53.0,1009.8,,40.4,2.9,8.0,,64.4,55.4,0.0
162430,99999,19440503,58.7,50.7,1021.0,,51.0,4.0,9.9,,64.4,50.4,0.0
162430,99999,19440509,69.6,53.0,1020.1,,6.0,4.1,8.9,,76.3,65.3,0.0
162430,99999,19440515,66.8,60.1,1015.0,,57.0,3.3,9.9,,69.3,63.3,99.99
162430,99999,19440516,61.8,59.5,1014.8,,27.0,0.0,,,62.4,60.3,0.0
162430,99999,19440521,64.7,58.4,1012.8,,37.9,2.2,6.0,,68.4,59.4,0.0
162430,99999,19440522,63.2,54.9,1012.5,,41.2,6.8,15.9,,69.3,58.3,0.0
162430,99999,19440528,67.8,54.9,1025.6,,51.4,7.0,14.0,,73.4,61.3,0.0
162430,99999,19440603,69.1,61.3,1014.5,,77.3,4.4,9.9,,75.4,57.4,0.0
162430,99999,19730101,55.1,46.7,,,5.7,9.5,15.9,,59.0,50.0,99.99
162430,99999,19730102,52.4,46.2,,,6.0,9.5,15.9,,57.2,50.0,99.99
162430,99999,19730103,56.3,46.1,,,6.2,6.6,8.9,,59.0,53.6,0.0
162430,99999,19730105,47.3,41.0,,,6.2,0.0,,,55.4,39.2,0.0
162430,99999,19730107,42.1,34.9,,,6.2,0.0,,,55.4,35.6,0.0
162430,99999,19730108,44.6,36.3,,,5.1,0.0,,,53.6,37.4,0.0
162430,99999,19730109,45.7,34.5,,,5.6,0.4,4.9,,57.2,33.8,0.0
162430,99999,19730110,45.0,34.6,,,5.7,0.0,,,55.4,33.8,0.0
162430,99999,19730111,41.4,34.5,,,5.5,0.0,,,53.6,33.8,0.0
162430,99999,19730112,45.7,39.6,,,5.4,0.0,,,53.6,33.8,0.0
162430,99999,19730113,44.8,37.2,,,4.0,0.5,3.9,,53.6,37.4,0.0
162430,99999,19730114,44.2,35.3,,,4.7,0.6,2.9,,53.6,33.8,0.0
162430,99999,19730115,50.2,44.2,,,5.2,3.1,8.0,,53.6,42.8,99.99
162430,99999,19730116,54.1,47.6,,,5.7,5.4,15.0,,57.2,50.0,99.99
162430,99999,19730117,48.6,44.4,,,6.1,7.7,20.0,,55.4,41.0,99.99
162430,99999,19730118,55.2,49.2,,,5.8,1.7,5.8,,59.0,51.8,99.99
162430,99999,19730119,50.8,48.7,,,6.0,1.5,8.9,,53.6,50.0,99.99
162430,99999,19730120,49.8,43.2,,,6.2,0.4,3.9,,59.0,39.2,0.0
162430,99999,19730121,50.2,44.6,,,5.7,2.1,8.0,,55.4,41.0,0.0
162430,99999,19730122,53.4,48.0,,,5.1,12.1,21.0,31.9,55.4,50.0,99.99
162430,99999,19730123,53.0,45.4,,,6.2,1.0,5.8,,59.0,48.2,99.99
162430,99999,19730124,50.0,43.5,,,6.2,0.4,7.0,,55.4,44.6,0.0
162430,99999,19730125,50.9,38.2,,,6.2,0.4,2.9,,60.8,35.6,0.0
162430,99999,19730126,47.4,39.1,,,6.2,0.9,5.8,,53.6,41.0,0.0
162430,99999,19730127,42.3,37.8,,,3.9,1.9,7.0,,46.4,33.8,99.99
162430,99999,19730128,49.0,39.1,,,5.1,3.6,9.9,,55.4,39.2,0.0
162430,99999,19730129,50.3,28.3,,,6.2,9.3,15.9,,55.4,44.6,0.0
162430,99999,19730130,47.1,31.1,,,6.2,2.0,11.8,,57.2,32.0,0.0
162430,99999,19730131,51.6,47.8,,,6.6,4.6,8.9,,53.6,48.2,99.99
162430,99999,19730201,50.3,44.6,,,5.6,4.7,13.0,,53.6,46.4,99.99
162430,99999,19730202,53.8,44.0,,,6.2,3.6,7.0,,57.2,48.2,0.0
162430,99999,19730203,53.2,43.2,,,6.2,4.9,15.9,,59.0,48.2,99.99
162430,99999,19730204,50.7,42.5,,,6.2,1.2,7.0,,60.8,39.2,0.0
162430,99999,19730205,49.4,42.0,,,6.2,0.3,2.9,,62.6,39.2,0.0
162430,99999,19730206,49.8,40.6,,,6.2,0.4,3.9,,60.8,37.4,0.0
162430,99999,19730207,47.8,41.9,,,4.2,1.5,7.0,,59.0,35.6,0.0
162430,99999,19730208,53.4,43.4,,,5.0,1.4,7.0,,59.0,44.6,0.0
162430,99999,19730209,51.2,42.6,,,6.2,4.4,8.9,,59.0,39.2,0.0
162430,99999,19730210,55.2,47.2,,,6.2,4.7,9.9,,59.0,51.8,0.0
162430,99999,19730211,48.4,37.2,,,6.2,1.4,8.9,,55.4,39.2,99.99
162430,99999,19730212,47.3,34.7,,,6.2,2.4,5.8,,55.4,42.8,0.0
162430,99999,19730213,46.8,40.8,,,6.1,4.7,9.9,,51.8,35.6,99.99
162430,99999,19730214,51.6,46.8,,,5.3,5.5,14.0,,53.6,50.0,99.99
162430,99999,19730215,46.3,41.0,,,6.2,2.9,10.9,,51.8,42.8,99.99
162430,99999,19730216,45.9,40.7,,,5.8,3.9,9.9,,50.0,41.0,99.99
162430,99999,19730217,47.5,38.5,,,6.2,1.7,8.0,,55.4,39.2,99.99
162430,99999,19730218,45.1,36.9,,,6.2,3.4,8.9,,48.2,39.2,99.99
162430,99999,19730219,46.1,37.9,,,6.2,6.4,11.8,,50.0,42.8,99.99
162430,99999,19730220,45.7,37.6,,,6.2,0.4,4.9,,53.6,35.6,0.0
162430,99999,19730221,44.6,36.0,,,6.2,0.2,1.9,,55.4,33.8,0.0
162430,99999,19730222,45.6,39.4,,,4.3,0.5,4.9,,55.4,35.6,99.99
162430,99999,19730223,51.8,40.0,,,5.0,4.2,11.8,,59.0,44.6,0.0
162430,99999,19730225,40.0,33.3,,,6.2,2.1,9.9,18.8,41.0,39.2,99.99
162430,99999,19730226,40.1,24.8,,,6.2,1.5,7.0,,48.2,30.2,0.0
162430,99999,19730227,43.3,21.9,,,6.2,2.7,8.0,,48.2,28.4,0.0
162430,99999,19730228,41.8,17.9,,,6.2,2.8,7.0,,48.2,30.2,0.0
162430,99999,19730301,45.3,22.8,,,6.2,5.9,9.9,,51.8,28.4,0.0
162430,99999,19730302,47.6,34.4,,,6.2,2.4,5.8,,53.6,39.2,0.0
162430,99999,19730303,47.3,35.3,,,4.8,1.6,4.9,,57.2,39.2,0.0
162430,99999,19730304,44.0,32.0,,,6.2,3.0,10.9,,59.0,30.2,0.0
162430,99999,19730305,54.2,40.0,,,5.9,1.4,3.9,,60.8,35.6,0.0
162430,99999,19730306,50.5,43.8,,,3.5,1.4,7.0,,59.0,35.6,0.0
162430,99999,19730307,55.0,45.2,,,5.1,7.9,10.9,,57.2,50.0,0.0
162430,99999,19730308,45.7,39.9,,,6.2,0.8,7.0,,50.0,42.8,99.99
162430,99999,19730309,50.8,39.5,,,6.2,2.0,10.9,,53.6,42.8,0.0
162430,99999,19730310,47.4,33.0,,,5.9,13.5,20.0,30.9,50.0,44.6,99.99
162430,99999,19730311,48.8,37.0,,,6.2,1.5,8.9,,55.4,37.4,0.0
162430,99999,19730312,47.2,34.9,,,6.2,1.9,5.8,,55.4,35.6,0.0
162430,99999,19730313,46.4,35.8,,,5.0,3.1,11.8,,53.6,39.2,0.0
162430,99999,19730314,45.0,39.0,,,5.7,6.8,14.0,,50.0,41.0,99.99
162430,99999,19730315,47.3,39.2,,,6.2,4.4,10.9,,51.8,42.8,99.99
162430,99999,19730316,49.0,38.2,,,6.2,3.2,8.9,,55.4,39.2,0.0
162430,99999,19730317,46.4,35.8,,,5.8,2.5,8.0,,55.4,35.6,0.0
162430,99999,19730318,41.9,35.6,,,4.3,1.9,14.0,,46.4,35.6,0.0
162430,99999,19730319,51.4,35.1,,,6.0,1.8,5.8,,59.0,33.8,0.0
162430,99999,19730320,53.1,37.2,,,6.2,1.7,8.0,,59.0,37.4,99.99
162430,99999,19730321,51.2,40.0,,,6.2,2.6,8.0,,59.0,37.4,0.0
162430,99999,19730322,50.7,38.9,,,6.2,2.6,8.9,,60.8,35.6,0.0
162430,99999,19730323,51.2,37.1,,,6.2,2.9,9.9,,59.0,37.4,0.0
162430,99999,19730324,55.6,48.9,,,5.9,2.6,5.8,,59.0,50.0,99.99
162430,99999,19730325,54.9,48.7,,,5.8,0.5,4.9,,59.0,50.0,0.0
162430,99999,19730326,57.2,47.8,,,5.5,1.9,3.9,,62.6,42.8,0.0
162430,99999,19730327,63.7,48.6,,,6.2,3.5,7.0,,66.2,62.6,0.0
162430,99999,19730328,54.3,50.2,,,5.7,3.0,4.9,,57.2,51.8,99.99
162430,99999,19730329,54.5,48.4,,,6.2,1.3,4.9,,60.8,50.0,99.99
162430,99999,19730330,56.7,48.5,,,6.2,4.6,7.0,,62.6,51.8,99.99
162430,99999,19730331,53.4,49.0,,,5.7,1.0,4.9,,57.2,48.2,99.99
162430,99999,19730401,54.3,46.6,,,6.2,1.3,8.0,,62.6,42.8,0.0
162430,99999,19730402,56.0,47.0,,,4.2,2.7,8.0,,64.4,41.0,0.0
162430,99999,19730403,51.5,42.5,,,4.8,10.2,22.0,,57.2,41.0,99.99
162430,99999,19730404,50.1,34.6,,,6.2,11.9,17.9,,55.4,42.8,0.0
162430,99999,19730405,56.8,38.8,,,6.2,1.8,8.0,,60.8,50.0,0.0
162430,99999,19730406,52.2,41.8,,,6.2,1.2,5.8,,60.8,39.2,0.0
