USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
846580,99999,19630103,82.8,72.5,,,14.8,2.5,5.1,,90.0,72.0,0.0
846580,99999,19630104,83.3,74.5,,,17.9,2.7,8.0,,93.0,72.0,0.0
846580,99999,19630105,83.8,73.6,,,14.5,5.0,8.0,,90.0,72.0,0.0
846580,99999,19630106,85.4,75.8,,,17.4,4.8,8.0,,93.0,75.0,0.0
846580,99999,19630107,77.8,73.8,,,6.6,4.4,8.9,,95.0,72.0,99.99
846580,99999,19630108,74.8,72.8,,,5.7,1.8,5.1,,82.0,72.0,99.99
846580,99999,19630109,77.0,73.8,,,10.6,1.0,5.1,,86.0,72.0,99.99
846580,99999,19630110,79.2,73.3,,,12.7,2.7,8.0,,86.0,70.0,99.99
846580,99999,19630113,78.6,73.2,,,10.8,1.0,2.9,,84.0,72.0,0.0
846580,99999,19630114,81.2,73.0,,,14.0,2.4,5.1,,90.0,72.0,0.0
846580,99999,19630115,80.8,73.2,,,14.0,3.3,7.0,,90.0,72.0,0.0
846580,99999,19630116,79.5,75.0,,,9.0,2.3,5.1,,90.0,72.0,99.99
846580,99999,19630117,74.3,72.5,,,2.7,0.0,,,84.0,72.0,99.99
846580,99999,19630119,74.8,72.2,,,10.6,1.7,4.1,,82.0,70.0,99.99
846580,99999,19630120,74.8,72.4,,,4.6,1.6,6.0,,81.0,70.0,99.99
846580,99999,19630121,76.8,72.2,,,5.3,2.0,6.0,,82.0,72.0,99.99
846580,99999,19630122,80.2,72.8,,,10.8,3.2,7.0,,88.0,72.0,0.0
846580,99999,19630123,80.0,73.5,,,12.4,,,,86.0,70.0,0.0
846580,99999,19630124,82.2,72.6,,,13.0,3.0,6.0,,90.0,72.0,0.0
846580,99999,19630125,80.5,73.0,,,12.4,3.0,8.0,,91.0,72.0,0.0
846580,99999,19630126,81.5,74.3,,,9.8,2.8,5.1,,88.0,72.0,0.0
846580,99999,19630128,79.4,73.2,,,10.6,3.0,6.0,,90.0,72.0,0.0
846580,99999,19630129,78.8,72.0,,,12.4,4.0,8.0,,84.0,70.0,0.0
846580,99999,19630130,78.0,73.0,,,10.4,2.5,6.0,,88.0,72.0,0.0
846580,99999,19630211,80.4,71.4,,,15.5,2.0,5.1,,93.0,70.0,0.0
846580,99999,19630212,77.2,72.8,,,10.2,0.8,4.1,,91.0,72.0,0.0
846580,99999,19630213,76.0,73.8,,,8.5,2.5,8.0,,82.0,70.0,99.99
846580,99999,19630214,79.5,71.0,,,14.0,3.3,8.0,,86.0,70.0,0.0
846580,99999,19630215,79.0,73.8,,,7.5,3.0,8.0,,90.0,72.0,99.99
846580,99999,19630217,76.0,73.0,,,5.7,1.5,4.1,,81.0,72.0,99.99
846580,99999,19630218,77.6,73.4,,,7.1,2.0,5.1,,82.0,72.0,99.99
846580,99999,19630219,79.3,73.3,,,8.1,0.7,2.9,,88.0,72.0,99.99
846580,99999,19630220,82.4,70.0,,,11.7,1.0,5.1,,90.0,72.0,0.0
846580,99999,19630221,76.2,71.2,,,7.1,0.6,2.9,,90.0,70.0,99.99
846580,99999,19630222,74.8,72.2,,,8.7,0.0,,,82.0,68.0,99.99
846580,99999,19630223,81.6,72.2,,,15.5,2.2,7.0,,86.0,70.0,0.0
846580,99999,19630224,77.8,73.2,,,7.6,2.0,5.1,,90.0,72.0,0.0
846580,99999,19630225,76.0,71.0,,,9.6,1.5,6.0,,82.0,70.0,0.0
846580,99999,19630226,79.6,72.6,,,14.3,3.0,5.1,,88.0,72.0,0.0
846580,99999,19630227,80.6,73.0,,,11.8,4.8,8.0,,90.0,70.0,0.0
846580,99999,19630228,78.0,73.6,,,11.4,1.6,8.0,,90.0,72.0,0.0
846580,99999,19630301,75.0,73.6,,,3.0,0.0,,,84.0,72.0,99.99
846580,99999,19630302,78.8,72.8,,,11.0,1.6,2.9,,86.0,72.0,99.99
846580,99999,19630303,78.8,72.3,,,7.9,0.7,2.9,,90.0,72.0,99.99
846580,99999,19630304,80.0,73.0,,,11.7,0.7,2.9,,86.0,72.0,0.0
846580,99999,19630305,79.4,75.4,,,13.7,1.0,2.9,,90.0,72.0,0.0
846580,99999,19630306,81.8,73.8,,,14.0,2.5,8.0,,86.0,72.0,0.0
846580,99999,19630307,77.8,72.2,,,10.6,2.0,4.1,,90.0,72.0,99.99
846580,99999,19630308,81.2,72.4,,,13.7,3.6,7.0,,84.0,72.0,0.0
846580,99999,19630309,81.0,73.5,,,12.4,1.0,1.9,,88.0,72.0,0.0
846580,99999,19630310,81.3,73.3,,,10.3,2.5,6.0,,90.0,72.0,0.0
846580,99999,19630311,81.2,73.8,,,13.8,1.2,2.9,,90.0,70.0,0.0
846580,99999,19630312,85.5,73.3,,,14.0,3.3,5.1,,93.0,82.0,0.0
846580,99999,19630313,83.0,74.6,,,13.2,3.2,8.0,,91.0,72.0,99.99
846580,99999,19630314,82.6,74.4,,,11.2,2.2,6.0,,93.0,72.0,0.0
846580,99999,19630315,82.0,73.0,,,14.8,2.8,7.0,,90.0,72.0,0.0
846580,99999,19630316,79.2,73.3,,,8.6,3.5,7.0,,93.0,72.0,0.0
846580,99999,19630317,79.0,73.8,,,9.9,1.2,2.9,,91.0,70.0,0.0
846580,99999,19630318,79.4,73.2,,,9.4,4.0,5.1,,90.0,72.0,99.99
846580,99999,19630319,80.8,73.2,,,10.6,3.0,6.0,,86.0,72.0,0.0
846580,99999,19630320,80.6,73.4,,,10.1,2.0,8.0,,88.0,72.0,0.0
846580,99999,19630321,75.7,71.7,,,9.3,2.7,8.0,,90.0,72.0,0.0
846580,99999,19630322,76.0,72.8,,,5.0,1.7,5.1,,82.0,72.0,99.99
846580,99999,19630324,78.3,73.0,,,9.8,5.5,8.0,,88.0,72.0,99.99
846580,99999,19630326,79.2,73.8,,,12.4,3.3,8.0,,88.0,72.0,0.0
846580,99999,19630328,66.2,64.0,,,4.9,3.8,5.1,,88.0,57.0,99.99
846580,99999,19630330,76.5,69.3,,,10.9,2.0,5.1,,86.0,61.0,0.0
846580,99999,19630331,82.0,71.0,,,11.8,1.7,4.1,,88.0,66.0,0.0
846580,99999,19630401,83.5,71.7,,,10.6,1.3,5.1,,90.0,68.0,0.0
846580,99999,19630403,81.4,73.6,,,10.6,2.4,5.1,,90.0,72.0,0.0
846580,99999,19630404,78.3,73.5,,,9.9,0.0,,,90.0,72.0,0.0
846580,99999,19630405,81.0,73.3,,,11.8,0.0,,,90.0,72.0,99.99
