USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
762200,99999,19490101,46.4,33.3,1010.2,,43.5,1.6,4.1,,57.0,37.9,0.0
762200,99999,19490102,41.9,34.9,1006.5,,41.2,2.7,14.0,,57.0,30.0,0.16
762200,99999,19490103,41.5,31.0,997.9,,24.3,11.5,15.9,,51.1,34.0,99.99
762200,99999,19490104,35.0,28.3,1003.5,,22.9,2.9,14.0,,46.9,23.0,99.99
762200,99999,19490105,32.4,23.5,1010.7,,43.5,1.5,8.0,,50.0,18.0,0.0
762200,99999,19490106,34.3,23.6,1017.3,,43.5,0.1,1.0,,54.0,24.1,0.0
762200,99999,19490107,38.3,27.6,1016.4,,38.8,1.4,4.1,,46.0,32.0,99.99
762200,99999,19490108,43.3,41.1,1011.9,,19.3,0.4,2.9,,50.0,39.9,0.39
762200,99999,19490109,48.2,39.9,1007.5,,33.1,3.1,9.9,,55.9,42.1,0.91
762200,99999,19490110,44.4,35.4,1012.0,,43.5,4.0,12.0,,57.0,35.1,0.04
762200,99999,19490111,44.4,38.7,1013.8,,38.8,1.2,4.1,,55.0,36.0,99.99
762200,99999,19490112,45.0,42.8,1015.0,,34.3,0.0,,,48.0,39.0,0.55
762200,99999,19490113,47.0,43.8,1012.2,,23.5,4.4,8.9,,55.0,43.0,1.02
762200,99999,19490114,47.7,43.7,1008.8,,27.8,0.5,4.1,,55.9,42.1,1.06
762200,99999,19490115,40.1,26.7,1008.4,,43.5,4.5,8.0,,54.0,25.0,0.04
762200,99999,19490116,37.3,24.2,1007.6,,43.5,4.5,8.9,,48.9,25.0,0.0
762200,99999,19490117,31.9,24.5,1006.9,,19.0,6.4,15.9,,39.9,23.0,99.99
762200,99999,19490118,19.0,16.1,1016.5,,38.4,1.0,5.1,,36.0,7.0,99.99
762200,99999,19490119,31.4,22.0,1017.3,,43.5,0.0,,,55.0,16.0,0.0
762200,99999,19490120,35.6,28.8,1014.8,,42.7,0.4,2.9,,57.9,26.1,0.0
762200,99999,19490121,35.1,28.8,1016.3,,43.5,1.1,6.0,,54.0,23.0,0.0
762200,99999,19490122,40.4,34.8,1013.2,,33.6,1.1,4.1,,55.9,34.0,0.24
762200,99999,19490123,37.6,33.9,1011.9,,19.6,1.9,7.0,,55.9,30.0,0.59
762200,99999,19490124,42.4,31.5,1010.1,,43.5,2.4,8.0,,59.0,27.0,0.0
762200,99999,19490125,46.5,37.4,1008.2,,38.8,4.3,14.0,,59.0,36.0,0.08
762200,99999,19490126,44.8,35.7,1007.0,,43.5,8.7,16.9,,52.0,36.0,0.08
762200,99999,19490127,27.9,21.6,1015.9,,38.2,1.6,5.1,,48.9,9.0,99.99
762200,99999,19490128,35.9,21.9,1014.9,,43.5,0.8,6.0,,57.0,19.0,0.0
762200,99999,19490129,30.5,22.3,1011.1,,39.6,4.2,16.9,,57.9,21.0,99.99
762200,99999,19490130,15.8,12.7,1020.4,,33.2,2.1,8.9,,36.0,3.0,99.99
762200,99999,19490131,30.4,19.5,1014.5,,43.5,1.1,8.9,,53.1,14.0,0.0
762200,99999,19490201,38.4,21.8,1013.6,,43.5,2.7,8.0,,55.9,17.1,0.0
762200,99999,19490202,37.2,23.7,1013.5,,43.5,1.7,8.0,,57.0,17.1,0.0
762200,99999,19490203,45.0,22.8,1009.8,,43.5,5.0,8.0,,57.0,25.0,0.0
762200,99999,19490204,37.0,19.1,1012.6,,43.5,1.3,5.1,,57.0,18.0,0.0
762200,99999,19490205,36.4,18.9,1013.2,,43.5,1.2,4.1,,57.0,17.1,0.0
762200,99999,19490206,31.8,13.4,1013.5,,43.5,1.1,8.9,,55.9,14.0,0.0
762200,99999,19490207,30.9,15.5,1015.4,,38.1,1.0,4.1,,59.0,12.9,0.0
762200,99999,19490208,42.5,15.2,1010.1,,43.5,3.7,9.9,,60.1,30.0,0.0
762200,99999,19490209,36.5,13.8,1014.6,,43.5,1.0,6.0,,61.0,15.1,0.0
762200,99999,19490210,35.9,18.4,1023.0,,43.5,0.5,4.1,,64.0,16.0,0.0
762200,99999,19490211,47.4,26.1,1015.4,,43.5,1.4,7.0,,66.9,32.0,0.0
762200,99999,19490212,49.0,39.0,1007.9,,43.5,5.6,15.9,,61.0,39.0,0.16
762200,99999,19490213,46.6,37.3,1008.7,,43.5,3.1,8.9,,55.9,37.9,0.04
762200,99999,19490214,46.6,32.9,1007.9,,43.5,8.5,15.9,,55.9,39.9,0.0
762200,99999,19490215,36.5,21.0,1012.5,,43.5,1.6,8.9,,64.9,15.1,0.0
762200,99999,19490216,37.6,21.9,1018.4,,43.5,0.5,4.1,,64.0,15.1,0.0
762200,99999,19490217,40.8,21.2,1017.2,,43.5,0.6,5.1,,66.0,19.0,0.0
762200,99999,19490218,43.2,22.8,1012.8,,43.5,0.0,,,69.1,21.0,0.0
762200,99999,19490219,41.0,20.6,1012.6,,43.5,0.5,4.1,,66.9,19.9,0.0
762200,99999,19490220,44.8,26.0,1014.7,,43.5,1.9,5.1,,62.1,25.0,0.0
762200,99999,19490221,46.6,32.5,1019.6,,43.5,1.1,5.1,,63.0,36.0,0.0
762200,99999,19490222,46.4,39.6,1020.0,,37.3,0.0,,,64.0,34.0,0.04
762200,99999,19490223,48.9,37.2,1014.5,,43.5,0.5,4.1,,66.0,34.0,0.0
762200,99999,19490224,46.5,30.9,1012.4,,43.5,0.5,4.1,,69.1,25.0,0.0
762200,99999,19490225,45.4,27.4,1012.5,,43.5,0.9,4.1,,68.0,21.9,0.0
762200,99999,19490226,43.5,21.3,1010.1,,43.5,1.0,4.1,,69.1,19.9,0.0
762200,99999,19490227,43.0,20.4,1009.3,,43.5,1.1,5.1,,66.0,21.9,0.0
762200,99999,19490228,45.9,23.7,1008.7,,43.5,3.4,8.0,,66.0,21.0,0.0
762200,99999,19490301,44.1,20.7,1010.6,,43.5,1.7,8.9,,64.9,18.0,0.0
762200,99999,19490302,42.9,22.6,1013.2,,43.5,1.0,4.1,,69.1,19.9,0.0
762200,99999,19490303,46.6,26.2,1014.6,,43.5,0.5,4.1,,70.0,30.9,0.0
762200,99999,19490304,49.5,29.4,1012.5,,43.5,0.4,2.9,,68.0,30.9,0.0
762200,99999,19490305,47.2,25.2,1011.7,,43.5,0.9,4.1,,72.0,24.1,0.0
762200,99999,19490306,49.1,29.9,1014.0,,43.5,0.5,4.1,,73.0,26.1,0.0
762200,99999,19490307,49.9,31.1,1013.1,,43.5,0.5,4.1,,73.0,32.0,0.0
762200,99999,19490308,54.7,37.4,1009.9,,43.5,2.9,9.9,,73.0,45.0,99.99
762200,99999,19490309,45.6,26.1,1010.7,,42.7,1.4,7.0,,70.0,23.0,0.0
762200,99999,19490310,49.5,22.4,1010.7,,43.5,1.1,5.1,,73.0,26.1,0.0
762200,99999,19490311,49.7,22.0,1008.3,,43.5,2.5,12.0,,73.9,28.0,0.0
762200,99999,19490312,48.7,22.7,1008.2,,43.5,2.3,8.0,,73.0,27.0,0.0
762200,99999,19490313,50.9,27.0,1010.6,,43.5,1.2,4.1,,70.0,32.0,0.0
762200,99999,19490314,46.4,19.3,1014.4,,43.5,0.5,4.1,,73.9,21.0,0.0
762200,99999,19490315,49.5,21.5,1013.8,,43.5,0.5,4.1,,77.0,25.0,0.0
762200,99999,19490316,53.9,24.1,1011.6,,43.5,1.0,4.1,,78.1,30.9,0.0
762200,99999,19490317,48.0,22.2,1013.4,,43.5,1.1,6.0,,73.9,24.1,0.0
762200,99999,19490318,48.0,27.6,1015.5,,43.5,0.0,,,75.0,26.1,0.0
762200,99999,19490319,55.1,25.8,1011.1,,43.5,0.0,,,77.0,28.0,0.0
762200,99999,19490320,60.5,29.4,1006.1,,38.2,6.0,19.0,,79.0,50.0,0.0
762200,99999,19490321,51.9,25.0,1006.9,,43.5,2.2,8.0,,71.1,28.0,0.0
762200,99999,19490322,51.1,22.5,1008.8,,43.5,2.9,15.9,,73.0,30.0,0.0
762200,99999,19490323,50.2,25.6,1006.9,,43.5,3.7,14.0,,73.9,28.9,0.0
762200,99999,19490324,48.9,21.1,1006.6,,43.5,3.0,8.0,,71.1,25.0,0.0
762200,99999,19490325,46.6,21.1,1004.8,,43.5,5.8,18.1,,68.0,24.1,0.0
762200,99999,19490326,41.3,21.5,1009.1,,43.5,3.5,14.0,,60.1,21.0,0.0
762200,99999,19490327,41.6,17.5,1012.5,,43.5,1.1,8.9,,66.0,18.0,0.0
762200,99999,19490328,48.5,20.0,1006.6,,43.5,1.5,8.0,,73.0,19.9,0.0
762200,99999,19490329,54.9,24.9,1002.6,,43.5,11.0,23.9,,71.1,44.1,0.0
762200,99999,19490330,51.1,23.1,1006.1,,43.5,6.1,16.9,,66.9,28.0,0.0
762200,99999,19490331,47.5,18.9,1006.1,,43.5,5.1,14.0,,66.9,21.9,0.0
762200,99999,19490401,50.5,24.4,1002.6,,43.5,8.5,14.0,,66.9,39.0,0.0
762200,99999,19490402,41.2,19.4,1004.8,,43.5,2.3,9.9,,61.0,19.0,0.0
762200,99999,19490403,41.4,18.4,1002.2,,43.5,1.2,4.1,,62.1,24.1,0.0
762200,99999,19490404,41.0,29.9,1009.8,,33.9,2.6,9.9,,55.9,30.0,0.0
762200,99999,19490405,40.3,29.4,1016.8,,43.5,3.7,8.9,,59.0,28.9,0.08
762200,99999,19490406,42.4,20.3,1018.6,,43.5,1.5,5.1,,70.0,18.0,0.0
762200,99999,19490407,49.3,17.5,1016.6,,43.5,0.4,2.9,,75.0,24.1,0.0
762200,99999,19490408,55.2,25.4,1011.4,,43.5,4.5,14.0,,77.0,30.0,0.0
762200,99999,19490409,49.7,22.6,1009.3,,43.5,2.5,9.9,,73.0,27.0,0.0
762200,99999,19490410,52.0,21.9,1011.1,,43.5,1.8,7.0,,69.1,26.1,0.0
762200,99999,19490411,52.0,24.4,1013.0,,43.5,2.6,13.0,,71.1,28.0,0.0
762200,99999,19490412,49.6,20.1,1012.5,,43.5,1.5,12.0,,77.0,23.0,0.0
762200,99999,19490413,58.3,23.3,1007.5,,43.5,2.4,7.0,,80.1,32.0,0.0
762200,99999,19490414,52.1,19.1,1009.9,,43.5,1.2,7.0,,77.0,26.1,0.0
762200,99999,19490415,54.1,22.4,1012.4,,43.5,0.8,6.0,,80.1,28.0,0.0
762200,99999,19490416,55.4,23.2,1011.4,,43.5,1.5,6.0,,80.1,28.0,0.0
762200,99999,19490417,54.0,17.9,1011.3,,43.5,2.0,6.0,,80.1,26.1,0.0
762200,99999,19490418,56.0,27.4,1009.4,,43.5,4.0,11.1,,77.0,32.0,0.0
