USAF,WBAN,ObservationDate,TemperatureF,DewPointF,SeaLevelPressureMB,StationPressureMB,VisibilityFeet,MeanWindSpeedMPH,MaxWindSpeedMPH,MaxGustSpeedMPH,MaxTemperatureF,MinTemperatureF,PreciptitationInches
476710,99999,19460911,71.0,65.0,,,7.5,2.8,7.0,,74.3,68.4,0.0
476710,99999,19460912,73.9,61.5,,,11.2,6.8,13.0,,82.4,67.3,0.0
476710,99999,19460913,75.0,63.6,,,11.3,6.4,13.0,,80.2,71.2,0.0
476710,99999,19460914,73.4,66.4,,,10.5,6.6,16.9,,80.2,68.4,99.99
476710,99999,19460915,77.9,70.5,,,12.2,2.8,7.0,,84.4,73.4,0.0
476710,99999,19460916,72.6,63.4,,,11.6,4.0,13.0,,80.2,66.4,0.0
476710,99999,19460917,75.7,65.3,,,9.6,5.9,22.0,,81.3,69.3,99.99
476710,99999,19460918,72.8,70.0,,,6.0,5.2,14.0,,76.3,70.3,99.99
476710,99999,19460919,74.7,68.7,,,9.7,3.5,6.0,,82.4,70.3,0.0
476710,99999,19460920,74.3,67.9,,,10.0,4.7,13.0,,80.2,68.4,0.0
476710,99999,19460921,75.4,66.5,,,9.7,4.7,13.0,,81.3,70.3,0.0
476710,99999,19460922,70.2,61.3,,,9.7,10.8,16.9,,77.4,62.4,99.99
476710,99999,19460923,63.6,60.2,,,5.5,13.2,16.9,,65.3,61.3,99.99
476710,99999,19460924,69.1,64.0,,,7.3,7.5,13.0,,72.3,66.4,99.99
476710,99999,19460925,71.2,67.1,,,6.0,1.6,4.1,,75.4,67.3,99.99
476710,99999,19460926,72.1,63.0,,,13.0,2.9,8.9,,80.2,65.3,0.0
476710,99999,19460927,74.6,69.7,,,7.2,8.1,16.9,,79.3,68.4,99.99
476710,99999,19460928,67.3,63.2,,,7.6,6.0,13.0,,69.3,66.4,99.99
476710,99999,19460929,68.1,61.4,,,8.0,5.1,7.0,,72.3,65.3,99.99
476710,99999,19460930,68.9,61.6,,,12.6,4.7,13.0,,78.3,60.3,0.0
476710,99999,19461001,70.5,62.5,,,10.3,1.7,5.1,,80.2,62.4,0.0
476710,99999,19461002,75.3,68.9,,,8.1,2.8,8.0,,83.3,70.3,99.99
476710,99999,19461003,75.9,71.6,,,8.5,13.9,26.0,,78.3,73.4,99.99
476710,99999,19461004,67.4,63.2,,,8.5,14.4,22.9,,79.3,58.3,99.99
476710,99999,19461005,62.7,48.1,,,15.9,8.4,16.9,,70.3,56.3,0.0
476710,99999,19461006,61.0,51.8,,,8.0,9.9,16.9,,66.4,56.3,99.99
476710,99999,19461007,62.3,60.0,,,4.8,4.8,26.0,,65.3,56.3,99.99
476710,99999,19461008,69.5,64.1,,,5.1,2.7,13.0,,74.3,66.4,0.0
476710,99999,19461009,65.4,56.3,,,6.8,5.9,12.0,,70.3,55.4,99.99
476710,99999,19461010,63.1,54.8,,,9.7,8.8,22.0,,70.3,58.3,0.0
476710,99999,19461011,64.3,59.2,,,5.4,5.6,8.9,,66.4,62.4,99.99
476710,99999,19461012,68.2,66.4,,,1.9,1.9,5.1,,69.3,67.3,99.99
476710,99999,19461013,69.8,55.9,,,13.1,12.5,28.0,,82.4,62.4,0.0
476710,99999,19461014,65.3,54.8,,,12.0,9.0,22.0,,71.2,59.4,0.0
476710,99999,19461015,59.3,56.9,,,5.4,6.6,16.9,,61.3,57.4,99.99
476710,99999,19461016,66.3,55.5,,,8.6,7.0,16.9,,75.4,61.3,99.99
476710,99999,19461017,63.7,53.6,,,10.9,6.3,8.9,,70.3,57.4,0.0
476710,99999,19461018,62.8,54.1,1019.0,1018.6,7.2,5.1,15.9,,71.2,57.4,0.0
476710,99999,19461019,62.5,50.6,1020.8,1020.6,11.6,11.3,15.9,,72.3,54.3,0.0
476710,99999,19461020,61.3,50.6,1020.0,1019.7,11.5,11.7,15.9,,70.3,54.3,0.0
476710,99999,19461021,61.0,52.1,1023.1,1022.8,10.0,13.8,19.0,,69.3,50.4,99.99
476710,99999,19461022,58.1,56.2,1014.4,1014.2,2.6,16.5,23.9,,62.4,56.3,99.99
476710,99999,19461023,66.1,62.1,1006.9,1006.5,5.8,4.8,15.0,,71.2,62.4,99.99
476710,99999,19461024,58.2,53.6,1010.3,1010.1,8.6,9.7,21.0,,63.3,51.3,99.99
476710,99999,19461025,63.1,52.8,1022.5,1022.2,9.6,4.9,8.9,,71.2,54.3,0.0
476710,99999,19461026,63.7,57.2,1017.9,1017.6,8.1,3.1,7.0,,70.3,55.4,0.0
476710,99999,19461027,64.7,53.5,1011.6,1011.2,8.9,9.1,20.0,,75.4,57.4,0.0
476710,99999,19461028,53.7,37.4,1025.1,1024.8,13.4,14.4,27.0,,63.3,43.3,0.0
476710,99999,19461029,54.8,43.4,1029.1,1028.7,10.2,8.5,11.1,,63.3,48.4,99.99
476710,99999,19461030,61.4,54.2,1027.7,1027.4,10.6,10.8,15.9,,69.3,55.4,0.0
476710,99999,19461031,63.0,57.5,1023.1,1022.8,5.6,10.2,13.0,,69.3,59.4,99.99
476710,99999,19461130,38.3,35.1,1025.1,1023.9,5.2,5.7,7.0,,40.3,35.4,0.0
476710,99999,19461201,43.7,41.2,1022.1,1021.2,4.7,6.2,11.1,,48.4,38.3,99.99
476710,99999,19461202,46.3,44.7,1005.6,1004.5,4.8,8.7,19.0,,50.4,42.4,99.99
476710,99999,19461203,53.6,47.0,1006.8,1005.9,11.2,11.7,23.9,,62.4,44.4,99.99
476710,99999,19461204,48.4,44.5,1012.7,1011.7,7.7,5.4,16.9,,55.4,36.3,0.0
476710,99999,19461205,51.3,45.3,1012.0,1010.9,10.7,9.0,15.9,,54.3,43.3,0.0
476710,99999,19461206,44.3,38.9,1010.6,1009.6,11.3,10.8,26.0,,55.4,34.3,0.0
476710,99999,19461207,43.2,39.3,1013.2,1012.2,6.1,4.2,8.9,,51.3,36.3,0.0
476710,99999,19461208,45.2,43.0,1001.1,1000.2,4.3,6.9,16.9,,50.4,38.3,99.99
476710,99999,19461209,44.0,36.1,995.7,994.6,12.7,15.1,21.0,,56.3,35.4,0.0
476710,99999,19461210,39.8,33.1,1000.0,998.8,14.3,12.6,22.0,,45.3,36.3,0.0
476710,99999,19461211,40.5,35.5,1002.9,1001.9,9.1,5.1,12.0,,50.4,30.4,0.0
476710,99999,19461212,40.4,32.6,1007.2,1006.1,4.2,3.7,8.0,,49.3,28.4,0.0
476710,99999,19461213,42.9,36.8,1008.7,1007.7,3.9,4.6,9.9,,53.4,33.4,0.0
476710,99999,19461214,46.1,37.6,1008.6,1007.6,6.1,4.5,15.9,,54.3,37.4,0.0
476710,99999,19461215,43.5,36.0,1007.5,1006.5,4.4,4.7,16.9,,49.3,37.4,0.0
476710,99999,19461216,42.1,31.7,1014.2,1013.2,12.5,12.3,23.9,,47.3,38.3,0.0
476710,99999,19461217,41.1,32.8,1009.1,1008.1,6.5,4.9,9.9,,49.3,34.3,0.0
476710,99999,19461218,39.7,30.7,1009.4,1008.4,8.6,6.4,18.1,,46.4,33.4,0.0
476710,99999,19461219,36.2,25.8,1018.9,1017.9,10.9,9.7,29.9,,45.3,26.4,0.0
476710,99999,19461220,39.3,34.3,1023.8,1022.7,11.9,14.1,32.1,,46.4,33.4,0.0
476710,99999,19461221,38.4,32.4,1023.6,1022.6,6.0,4.7,8.9,,42.4,34.3,99.99
476710,99999,19461222,39.5,34.8,1012.7,1011.7,3.3,5.6,15.9,,43.3,34.3,0.0
476710,99999,19461223,40.3,30.7,1019.9,1018.9,14.5,16.7,22.0,,47.3,35.4,0.0
476710,99999,19461224,40.1,31.9,1026.8,1025.8,10.5,10.6,22.0,,46.4,34.3,99.99
476710,99999,19461225,35.9,33.9,1024.7,1023.7,3.7,8.3,11.1,,38.3,31.3,99.99
476710,99999,19461226,42.7,38.8,1023.4,1022.4,5.6,5.2,8.0,,47.3,36.3,99.99
476710,99999,19461227,48.8,45.4,1005.0,1003.9,5.4,10.3,25.1,,60.3,41.4,99.99
476710,99999,19461228,42.6,38.2,1004.1,1003.2,10.6,6.2,15.9,,50.4,34.3,0.0
